Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
disgusting (adj.),dɪsˈɡʌstɪŋ/ ডিসগাস্টিং/ dis-guhs-ting,Arousing revulsion or strong indignation,ঘৃণ্য / বিরক্তিকর,That food smells absolutely disgusting.,A rotting piece of fruit covered in buzzing flies,"absolutely disgusting, smell disgusting",
dish (n.),dɪʃ/ ডিশ/ dish,"A shallow, flat-bottomed container for cooking or serving food",থালা / ডিশ,She served the food in a beautiful glass dish.,"A perfectly clean, glowing white ceramic dining plate","wash the dishes, favorite dish",
dishonest (adj.),dɪsˈɒnɪst/ ডিজঅনেস্ট/ dis-on-ist,Behaving or prone to behave in an untrustworthy or fraudulent way,অসৎ,It was very dishonest of him to lie.,A person crossing their fingers tightly behind their back,"dishonest behavior, totally dishonest",
dishonestly (adv.),dɪsˈɒnɪstli/ ডিজঅনেস্টলি/ dis-on-ist-lee,In an untrustworthy or fraudulent way,অসৎভাবে,He obtained the money dishonestly.,A sneaky silhouette taking a gold coin from a table,"act dishonestly, acquire dishonestly",
disk (n.),dɪsk/ ডিস্ক/ disk,"A flat, thin, round object",চাকতি / ডিস্ক,I saved the file to a floppy disk.,A classic black floppy disk on a sleek desk,"hard disk, floppy disk",
"dislike (v.), (n.) ",dɪsˈlaɪk/ ডিসলাইক/ dis-lahyk,Feel distaste for or hostility toward,অপছন্দ করা / অপছন্দ,I strongly dislike getting up early.,A large glowing red thumbs-down icon,"strongly dislike, intense dislike",
dismiss (v.),dɪsˈmɪs/ ডিসমিস/ dis-mis,Order or allow to leave; send away,বাতিল করা / বরখাস্ত করা,The teacher dismissed the class early.,A boss aggressively pointing towards an exit door,"dismiss a case, unfairly dismiss",
"display (v.), (n.) ",dɪˈspleɪ/ ডিসপ্লে/ di-spley,Make a prominent exhibition of (something) in a place where it can be easily seen,প্রদর্শন করা / প্রদর্শনী,The museum displays old paintings.,A beautiful glowing glass display case holding an ancient crown,"on display, window display",
dissolve (v.),dɪˈzɒlv/ ডিজলভ/ di-zolv,(With reference to a solid) become or cause to become incorporated into a liquid so as to form a solution,দ্রবীভূত হওয়া,Sugar dissolves easily in water.,A white sugar cube slowly fading away in a hot cup of tea,"dissolve in water, completely dissolve",
distance (n.),ˈdɪstəns/ ডিস্টেন্স/ dis-tuhns,The length of the space between two points,দূরত্ব,The distance to the city is 50 miles.,A long straight highway disappearing into the very far horizon,"long distance, safe distance",
distinguish (v.),dɪˈstɪŋɡwɪʃ/ ডিস্টিংগুইশ/ di-sting-gwish,Recognize or treat (someone or something) as different,পার্থক্য করা,It is hard to distinguish the twins from each other.,A magnifying glass focusing on one red dot among hundreds of blue ones,"clearly distinguish, distinguish between",
distribute (v.),dɪˈstrɪbjuːt/ ডিস্ট্রিবিউট/ di-strib-yoot,Give shares of (something); deal out,বিতরণ করা,They distributed food to the poor.,A person handing out many colorful boxes to a large crowd,"evenly distribute, widely distribute",
distribution (n.),ˌdɪstrɪˈbjuːʃn/ ডিস্ট্রিবিউশন/ dis-tri-byoo-shuhn,The action of sharing something out among a number of recipients,বিতরণ,The distribution of wealth is unequal.,A pie chart being divided into many different sized slices,"wealth distribution, geographic distribution",
district (n.),ˈdɪstrɪkt/ ডিস্ট্রিক্ট/ dis-trikt,"An area of a country or city, especially one regarded as a distinct unit because of a particular characteristic",জেলা / এলাকা,She works in the financial district.,A glowing map with one specific area highlighted in bright yellow,"financial district, school district",
disturb (v.),dɪˈstɜːb/ ডিস্টার্ব/ di-sturb,Interfere with the normal arrangement or functioning of,বিরক্ত করা / ব্যাঘাত ঘটানো,Please do not disturb me while I am working.,"A classic red ""Do Not Disturb"" sign hanging on a wooden doorknob","do not disturb, deeply disturb",
disturbing (adj.),dɪˈstɜːbɪŋ/ ডিস্টার্বিং/ di-stur-bing,Causing anxiety; worrying,উদ্বেগজনক / বিরক্তিকর,There was a disturbing noise coming from the basement.,"A dark, highly shadowed hallway with a creepy, glowing cracked door","disturbing trend, find disturbing",
divide (v.),dɪˈvaɪd/ ডিভাইড/ di-vahyd,Separate or be separated into parts,ভাগ করা,Divide the cake into six equal pieces.,A knife slicing a round pie perfectly in half,"divide into, equally divide",
division (n.),dɪˈvɪʒn/ ডিভিশন/ di-vizh-uhn,The action of separating something into parts or the process of being separated,বিভাগ / ভাগ,The cell division is a complex process.,Two identical living cells splitting smoothly from one original cell,"class division, deep division",
"divorce (n.), (v.) ",dɪˈvɔːs/ ডিভোর্স/ di-vawrs,The legal dissolution of a marriage by a court or other competent body,বিবাহবিচ্ছেদ / বিচ্ছেদ হওয়া,They decided to get a divorce after ten years.,A torn photograph of a couple split right down the middle,"get a divorce, bitter divorce",
divorced (adj.),dɪˈvɔːst/ ডিভোর্সড/ di-vawrst,No longer married because the marriage has been legally dissolved,বিবাহবিচ্ছিন্ন,She is a divorced mother of two.,A person taking off a gold wedding ring,"get divorced, happily divorced",
"do (v.), auxiliary (v.) ",duː/ ডু/ doo,"Perform (an action, the precise nature of which is often unspecified)",করা,What do you want to do today?,A bright glowing checkbox with a thick green tick,"do well, do your best",
"doctor (n.) (abbr. Dr, NAmE Dr.) ",ˈdɒktə/ ডক্টর/ dok-ter,A qualified practitioner of medicine; a physician,ডাক্তার,The doctor gave me some medicine.,A professional with a stethoscope wearing a white lab coat,"see a doctor, medical doctor",
document (n.),ˈdɒkjʊmənt/ ডকুমেন্ট/ dok-yuh-muhnt,"A piece of written, printed, or electronic matter that provides information or evidence",দলিল / নথিপত্র,Please sign this legal document.,A stack of formal papers with a wax seal on top,"legal document, travel document",
dog (n.),dɒɡ/ ডগ/ dog,"A domesticated carnivorous mammal that typically has a long snout, an acute sense of smell",কুকুর,I took my dog for a walk in the park.,A golden retriever running happily across a sunny green field,"wild dog, dog bark",
dollar (n.),ˈdɒlə/ ডলার/ dol-er,"The basic monetary unit of the US, Canada, Australia, and certain countries in the Pacific",ডলার,The book costs ten dollars.,A shiny gold coin stamped with a bold dollar sign,"million dollars, us dollar",
domestic (adj.),dəˈmɛstɪk/ ডোমেস্টিক/ duh-mes-tik,Relating to the running of a home or to family relations,গার্হস্থ্য / দেশীয়,She loves domestic chores like baking and cleaning.,A cozy living room with a crackling fireplace and a cat sleeping,"domestic violence, domestic flight",
dominate (v.),ˈdɒmɪneɪt/ ডোমিনেট/ dom-uh-neyt,Have a commanding influence on; exercise control over,আধিপত্য বিস্তার করা,The strong team dominated the match.,A giant chess piece standing proudly over many fallen pawns,"dominate the market, largely dominate",
door (n.),dɔː/ ডোর/ dawr,"A hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle",দরজা,Please close the front door.,"A heavy, ornate, ancient wooden door with iron hinges","front door, open the door",
dot (n.),dɒt/ ডট/ dot,A small round mark or spot,বিন্দু,Connect the dots to see the picture.,"A bright, glowing red circular point hovering in space","polka dot, connect the dots",
"double (adj.), (det.), (adv.), (n.), (v.) ",ˈdʌbl/ ডাবল/ duhb-uhl,"Consisting of two equal, identical, or similar parts or things",দ্বিগুণ / ডাবল,I want a double scoop of ice cream.,"A huge ice cream cone with two perfectly round, colorful scoops","double standard, double check",
"doubt (n.), (v.) ",daʊt/ ডাউট/ dowt,A feeling of uncertainty or lack of conviction,সন্দেহ / সন্দেহ করা,I doubt that he will arrive on time.,A large glowing question mark floating above a person's head,"no doubt, serious doubt",
"down (adv.), (prep.) ",daʊn/ ডাউন/ down,"Towards or in a lower place or position, especially to or on the ground or another surface",নিচে,He looked down at the floor.,A glowing red arrow pointing sharply downward,"up and down, fall down",
"downstairs (adv.), (adj.), (n.) ",ˌdaʊnˈstɛəz/ ডাউনস্টেয়ার্স/ down-stairz,Down a flight of stairs; on or to a lower floor,নিচতলা,The kitchen is downstairs.,"A modern, well-lit wooden staircase leading to a lower room","go downstairs, run downstairs",
downward (adj.),ˈdaʊnwəd/ ডাউনওয়ার্ড/ down-werd,Moving or pointing towards a lower level,নিম্নগামী,The graph showed a downward trend.,A line graph dropping sharply towards the bottom right,"downward trend, downward spiral",
downwards (also downward especially in NAmE) (adv.),ˈdaʊnwədz/ ডাউনওয়ার্ডস/ down-werdz,"Towards a lower place, point, or level",নিচের দিকে,The plane pointed downwards.,An airplane silhouette diving steeply towards the ground,"face downwards, point downwards",
"dozen (n.), (det.) ",ˈdʌzn/ ডজন/ duhz-uhn,A group or set of twelve,ডজন (বারোটি),I bought a dozen eggs from the store.,A cardboard carton holding exactly twelve perfectly white eggs,"half a dozen, baker's dozen",
"Dr (BrE) (also Dr. NAmE, BrE) (abbr. doctor) ",ˈdɒktə/ ডক্টর/ dok-ter,Doctor,ডাক্তার (সংক্ষেপ),Dr. Smith is an excellent physician.,"A brass door plaque with ""Dr. Smith"" engraved on it","see Dr., call Dr.",
"draft (n.), (adj.), (v.) ",drɑːft/ ড্রাফট/ drahft,A preliminary version of a piece of writing,খসড়া,This is only the first draft of my essay.,A crumpled piece of paper with many crossed-out words,"first draft, rough draft",
drag (v.),dræɡ/ ড্র্যাগ/ drag,"Pull (someone or something) along forcefully, roughly, or with difficulty",টানা / হেঁচড়ানো,He dragged the heavy box across the floor.,"A person pulling a massive, heavy wooden crate using a rope","drag one's feet, literally drag",
drama (n.),ˈdrɑːmə/ ড্রামা/ drah-muh,"A play for theater, radio, or television",নাটক,She loves watching historical dramas.,The iconic tragedy and comedy theatrical masks glowing under a spotlight,"historical drama, high drama",
dramatic (adj.),drəˈmætɪk/ ড্রামাটিক/ druh-mat-ik,Relating to drama or the performance or study of drama; sudden and striking,নাটকীয়,There has been a dramatic increase in sales.,"A stunning, fiery sunset with dark, sharp, towering storm clouds","dramatic effect, dramatic change",
dramatically (adv.),drəˈmætɪkli/ ড্রামাটিকালি/ druh-mat-i-klee,By a strikingly large amount or to a strikingly large extent; greatly,নাটকীয়ভাবে,The weather changed dramatically.,A line on a chart shooting almost vertically straight up,"increase dramatically, change dramatically",
draw (v.),drɔː/ ড্র/ draw,"Produce (a picture or diagram) by making lines and marks, especially with a pen or pencil, on paper",আঁকা / টানা,She likes to draw portraits.,A hand holding a pencil sketching a detailed face on paper,"draw a picture, draw a conclusion",
drawer (n.),drɔː/ ড্রয়ার/ drawr,"A box-like storage compartment without a lid, made to slide horizontally in and out of a desk, chest, or other piece of furniture",ড্রয়ার / টানাকল,I found the keys in the top drawer.,"An open wooden drawer filled with neat, organized colorful socks","top drawer, bottom drawer",
drawing (n.),ˈdrɔːɪŋ/ ড্রইং/ draw-ing,"A picture or diagram made with a pencil, pen, or crayon rather than paint",অঙ্কন,The child made a drawing of a house.,A colorful crayon sketch of a house with a smiling sun,"detailed drawing, pencil drawing",
"dream (n.), (v.) ",driːm/ ড্রিম/ dreem,"A series of thoughts, images, and sensations occurring in a person's mind during sleep",স্বপ্ন / স্বপ্ন দেখা,I had a strange dream last night.,"A glowing, ethereal thought bubble filled with floating stars and clouds","sweet dreams, bad dream",
"dress (n.), (v.) ",drɛs/ ড্রেস/ dres,Put on one's clothes; a garment for women or girls consisting of a skirt with an attached bodice,পোশাক / পোশাক পরা,She bought a beautiful red dress.,"A stunning, elegant red evening gown on a mannequin","wear a dress, dress up",
dressed (adj.),drɛst/ ড্রেসড/ drest,Wearing clothes,পোশাক পরিহিত,He was fully dressed by 7 AM.,"A person in a sharp, crisp, perfectly fitted business suit","get dressed, well dressed",
"drink (n.), (v.) ",drɪŋk/ ড্রিংক/ dringk,Take a liquid into the mouth and swallow,পান করা / পানীয়,I need a cold drink.,A glass of cold water with ice cubes,"cold drink, soft drink",
"drive (v.), (n.) ",draɪv/ ড্রাইভ/ drahyv,Operate and control the direction and speed of a motor vehicle,চালানো / ড্রাইভ,He will drive the car.,A person driving a car on a scenic road,"drive a car, drive safely",
driver (n.),ˈdraɪvə/ ড্রাইভার/ drahy-ver,A person who drives a vehicle,চালক,The taxi driver was very polite.,A professional driver behind the steering wheel,"taxi driver, bus driver",
driving (n.),ˈdraɪvɪŋ/ ড্রাইভিং/ drahy-ving,The control and operation of a motor vehicle,চালনা,Careless driving can cause accidents.,A car moving fast with motion blur,"safe driving, driving license",
"drop (v.), (n.) ",drɒp/ ড্রপ/ drop,Let or make (something) fall vertically,পড়ে যাওয়া / ফোঁটা,Do not drop the glass.,A glass falling and about to shatter,"water drop, drop down",
drug (n.),drʌɡ/ ড্রাগ/ druhg,A medicine or other substance which has a physiological effect,ওষুধ / মাদক,He takes a drug for his illness.,A bottle of prescription pills,"illegal drug, drug addiction",
drugstore (n.) (NAmE),ˈdrʌɡstɔː/ ড্রাগস্টোর/ druhg-stawr,A pharmacy which also sells toiletries and other articles,ওষুধের দোকান,I bought aspirin at the drugstore.,A bright pharmacy counter,"local drugstore, go to the drugstore",
drum (n.),drʌm/ ড্রাম/ druhm,A percussion instrument sounded by being struck,ঢোল / ড্রাম,He plays the drum in a band.,A traditional drum with drumsticks,"play the drum, drum beat",
drunk (adj.),drʌŋk/ ড্রাংক/ druhngk,Affected by alcohol to the extent of losing control,মদ্যপ,He was completely drunk.,A dizzy person holding a bottle,"get drunk, blindly drunk",
"dry (adj.), (v.) ",draɪ/ ড্রাই/ drahy,Free from moisture or liquid,শুকনো / শুকানো,The clothes are completely dry.,Dry cracked earth in a desert,"dry clothes, dry weather",
due (adj.),djuː/ ডিউ/ dyoo,Expected at or planned for at a certain time,প্রত্যাশিত / বকেয়া,The train is due in five minutes.,A train arriving at the station clock,"due date, past due",
due to,djuː tu/ ডিউ টু/ dyoo too,Caused by or ascribable to,কারণে,The flight was delayed due to rain.,A delayed sign over rain,"due to the fact, due to weather",
dull (adj.),dʌl/ ডাল/ duhl,Lacking interest or excitement,নিস্তেজ / একঘেয়ে,It was a dull movie.,A person looking incredibly bored,"dull color, dull ache",
"dump (v.), (n.) ",dʌmp/ ডাম্প/ duhmp,"Deposit or dispose of (garbage, waste, or unwanted material)",ফেলে দেওয়া / ডাম্প,Do not dump rubbish here.,A big pile of trash at a junkyard,"toxic dump, dump trash",
during (prep.),ˈdjʊərɪŋ/ ডিউরিং/ dyoor-ing,Throughout the course or duration of (a period of time),সময়ে,He fell asleep during the movie.,A person sleeping in a cinema seat,"during the day, during the war",
"dust (n.), (v.) ",dʌst/ ডাস্ট/ duhst,"Fine, dry powder consisting of tiny particles",ধুলো / ঝাড়া,The table was covered in dust.,A dusty old book on a table,"covered in dust, dust bunny",
duty (n.),ˈdjuːti/ ডিউটি/ dyoo-tee,A moral or legal obligation; a responsibility,কর্তব্য,It is my duty to help you.,A soldier standing at attention,"do your duty, sense of duty",
DVD (n.),ˌdiː viː ˈdiː/ ডিভিডি/ dee-vee-dee,A type of compact disc able to store large amounts of data,ডিভিডি,Let's watch a DVD tonight.,A shiny DVD disc in its case,"watch a DVD, DVD player",
dying (adj.),ˈdaɪɪŋ/ ডাইং/ dahy-ing,On the point of death,মুমূর্ষু / মৃতপ্রায়,He sat by the bed of his dying father.,"A wilted, dying flower drooping down","dying breath, dying wish",
e.g. (abbr.),ˌiː ˈdʒiː/ ই.জি/ ee-jee,For example,উদাহরণস্বরূপ,"Eat healthy foods, e.g. fruits and vegetables.",A bright chalkboard with the letters e.g. written loudly in chalk,"for example, e.g. fruits",
"each (det.), (pron.)",iːtʃ/ ইচ/ eech,"Every one of two or more people or things, regarded and identified separately",প্রত্যেক,Each student received a book.,"Three identical apples, one highlighted","each other, each one",
each other (also one another) (pron.),iːtʃ ˈʌðə/ ইচ আদার/ eech uhth-er,Used to indicate that each member of a group does to the other(s) what is done to them,একে অপরকে,They love each other.,Two people hugging warmly,"help each other, talk to each other",
ear (n.),ɪə/ ইয়ার/ eer,The organ of hearing and balance in humans and other vertebrates,কান,He whispered in her ear.,A highly detailed human ear outline,"inner ear, ear ache",
"early (adj.), (adv.) ",ˈɜːli/ আর্লি/ ur-lee,Happening or done before the usual or expected time,তাড়াতাড়ি,I woke up early today.,A sunrise with a loud alarm clock,"early morning, early stage",
earn (v.),ɜːn/ আর্ন/ urn,Obtain (money) in return for labor or services,উপার্জন করা,She earns a good salary.,A person holding a stack of money happily,"earn money, earn a living",
earth (n.),ɜːθ/ আর্থ/ urth,The planet on which we live; the world,পৃথিবী / মাটি,The earth goes around the sun.,A glowing blue and green globe of Earth,"planet earth, down to earth",
"ease (n.), (v.) ",iːz/ ইজ/ eez,Absence of difficulty or effort,সহজ / আরাম,He passed the test with ease.,A relaxed person in a hammock,"with ease, put at ease",
easily (adv.),ˈiːzɪli/ ইজিলি/ ee-zuh-lee,Without difficulty or effort,সহজে,She can easily lift the box.,A person lifting a heavy box with one hand effortlessly,"win easily, easily done",
"east (n.), (adj.), (adv.) ",iːst/ ইস্ট/ eest,The direction towards the point of the horizon where the sun rises,পূর্বদিক,The sun rises in the east.,A glowing sun rising over the eastern horizon,"middle east, east coast",
eastern (adj.),ˈiːstən/ ইস্টার্ন/ ee-stern,"Situated in, directed towards, or facing the east",পূর্বদেশীয় / পূর্ব,They traveled to eastern Europe.,A map highlighting the eastern region in bright color,"eastern standard time, eastern part",
easy (adj.),ˈiːzi/ ইজি/ ee-zee,Achieved without great effort; presenting few difficulties,সহজ,The exam was very easy.,"A green button with ""EASY"" written on it","easy to use, easy target",
eat (v.),iːt/ ইট/ eet,Put (food) into the mouth and chew and swallow it,খাওয়া,I like to eat apples.,A person taking a large bite out of a red apple,"eat out, eat healthy",
economic (adj.),ˌiːkəˈnɒmɪk/ ইকোনমিক/ ee-kuh-nom-ik,Relating to economics or the economy,অর্থনৈতিক,The country faces economic problems.,A chart showing financial growth and stock trends,"economic growth, economic crisis",
economy (n.),ɪˈkɒnəmi/ ইকোনমি/ ih-kon-uh-mee,The wealth and resources of a country or region,অর্থনীতি,The national economy is improving.,A large piggy bank next to gold coins and gears,"global economy, strong economy",
edge (n.),ɛdʒ/ এজ/ ej,"The outside limit of an object, area, or surface",প্রান্ত / ধার,Do not stand near the edge of the cliff.,A sharp cliff edge overlooking the ocean,"cutting edge, edge of the seat",
edition (n.),ɪˈdɪʃn/ এডিশন/ ih-dish-uhn,A particular form or version of a published text,সংস্করণ,This is the latest edition of the book.,"A thick book with ""First Edition"" stamped in gold","latest edition, limited edition",
editor (n.),ˈɛdɪtə/ এডিটর/ ed-i-ter,A person who is in charge of and determines the final content of a text,সম্পাদক,He is the editor of the local newspaper.,A person typing fast on a laptop reviewing a manuscript,"chief editor, newspaper editor",
educate (v.),ˈɛdjʊkeɪt/ এডুকেট/ ed-yoo-keyt,"Give intellectual, moral, and social instruction to",শিক্ষিত করা,They aim to educate children.,A teacher standing at a board pointing to an equation,"educate the public, highly educated",
educated (adj.),ˈɛdjʊkeɪtɪd/ এডুকেটেড/ ed-yoo-key-tid,Having been educated,শিক্ষিত,He is a highly educated man.,A proud graduate holding a diploma,"highly educated, well educated",
education (n.),ˌɛdjʊˈkeɪʃn/ এডুকেশন/ ed-yoo-key-shuhn,The process of receiving or giving systematic instruction,শিক্ষা,Education is the key to success.,A stack of thick school books with a graduation cap on top,"higher education, physical education",
effect (n.),ɪˈfɛkt/ ইফেক্ট/ ih-fekt,A change which is a result or consequence of an action or other cause,প্রভাব / ফল,The medicine had a positive effect.,A bright ripple spreading across a calm pond,"side effect, cause and effect",
effective (adj.),ɪˈfɛktɪv/ ইফেক্টিভ/ ih-fek-tiv,Successful in producing a desired or intended result,কার্যকর,This is an effective way to learn English.,A green checkmark representing success over a gear,"highly effective, cost effective",
effectively (adv.),ɪˈfɛktɪvli/ ইফেক্টিভলি/ ih-fek-tiv-lee,In such a manner as to achieve a desired result,কার্যকরভাবে,She manages her time effectively.,A fast stopwatch next to a completed to-do list,"work effectively, communicate effectively",
efficient (adj.),ɪˈfɪʃnt/ এফিশিয়েন্ট/ ih-fish-uhnt,Achieving maximum productivity with minimum wasted effort,দক্ষ,He is a very efficient worker.,A fast robot assembling blocks perfectly,"highly efficient, efficient way",
efficiently (adv.),ɪˈfɪʃntli/ এফিশিয়েন্টলি/ ih-fish-uhnt-lee,In a way that achieves maximum productivity with minimum wasted effort,দক্ষতার সাথে,The engine runs efficiently.,Gears turning smoothly with a bright green glow,"run efficiently, operate efficiently",
effort (n.),ˈɛfət/ এফোর্ট/ ef-ert,A vigorous or determined attempt,প্রচেষ্টা,He put a lot of effort into his work.,A person pushing a giant boulder up a hill,"make an effort, team effort",
egg (n.),ɛɡ/ এগ/ eg,"An oval or round object laid by a female bird, reptile, fish, or invertebrate",ডিম,I had a boiled egg for breakfast.,A perfect white egg in a ceramic egg cup,"boiled egg, lay an egg",
"either (det.), (pron.), (adv.) ",ˈaɪðə/ আইদার/ ahy-ther,One or the other of two people or things,যেকোনো একটি (দুটির মধ্যে),You can choose either option.,A fork in a path pointing left and right,"either or, either way",
elbow (n.),ˈɛlboʊ/ এলবো/ el-boh,The joint between the forearm and the upper arm,কনুই,He rested his elbows on the table.,A close up of a bent arm showing the elbow joint,"tennis elbow, rub elbows",
elderly (adj.),ˈɛldəli/ এল্ডারলি/ el-der-lee,Old or ageing,বয়স্ক,The elderly man walked slowly.,A distinguished old man with a walking stick,"elderly people, elderly care",
elect (v.),ɪˈlɛkt/ ইলেক্ট/ ih-lekt,Choose (someone) to hold public office or some other position by voting,নির্বাচিত করা,They elected a new president.,A hand dropping a voting paper into a ballot box,"elect a president, newly elected",
election (n.),ɪˈlɛkʃn/ ইলেকশন/ ih-lek-shuhn,A formal and organized choice by vote of a person for a political office,নির্বাচন,He won the election.,A ballot box surrounded by voting signs,"general election, win an election",
electric (adj.),ɪˈlɛktrɪk/ ইলেকট্রিক/ ih-lek-trik,"Of, worked by, or charged with electricity",বৈদ্যুতিক,He bought an electric car.,A bright yellow lightning bolt over a car,"electric shock, electric guitar",
electrical (adj.),ɪˈlɛktrɪkl/ ইলেকট্রিক্যাল/ ih-lek-tri-kuhl,Operating by or producing electricity,বৈদ্যুতিক,The building had an electrical fault.,A tangled bundle of thick glowing electric wires,"electrical equipment, electrical fault",
electricity (n.),ɪˌlɛkˈtrɪsɪti/ ইলেকট্রিসিটি/ ih-lek-tris-i-tee,A form of energy resulting from the existence of charged particles,বিদ্যুৎ,The storm cut off our electricity.,A bright lightbulb turning on with sparks,"generate electricity, conduct electricity",
electronic (adj.),ɪˌlɛkˈtrɒnɪk/ ইলেকট্রনিক/ ih-lek-tron-ik,Having components such as microchips and transistors that control electric currents,ইলেকট্রনিক,He bought a new electronic device.,A glowing green microchip with digital pathways,"electronic mail, electronic device",
elegant (adj.),ˈɛlɪɡənt/ এলিগ্যান্ট/ el-i-guhnt,Pleasingly graceful and stylish in appearance or manner,মার্জিত,She wore an elegant black dress.,"A woman spinning in a beautiful, flowing black gown","elegant dress, simple and elegant",
element (n.),ˈɛlɪmənt/ এলিমেন্ট/ el-uh-muhnt,A part or aspect of something abstract,উপাদান,Trust is a key element of their relationship.,A periodic table highlighting a glowing gold square,"chemical element, key element",
elevator (n.) (NAmE),ˈɛlɪveɪtə/ এলিভেটর/ el-uh-vey-ter,A platform or compartment housed in a shaft for raising and lowering people,লিফট,We took the elevator to the 10th floor.,A shiny metal elevator door opening with a ding,"take the elevator, ride the elevator",
else (adv.),ɛls/ এলস/ els,In addition; besides,অন্যথায় / আর,Is there anything else you need?,A giant question mark over an empty shopping cart,"anyone else, something else",
elsewhere (adv.),ˌɛlsˈwɛə/ এলসহোয়ার/ els-hwair,"In, at, or to some other place or other places",অন্যত্র,We will have to look elsewhere for help.,A signpost pointing to different generic locations,"look elsewhere, travel elsewhere",
"email (also e-mail) (n.), (v.) ",ˈiːmeɪl/ ইমেইল/ ee-meyl,Messages distributed by electronic means from one computer user to one or more recipients,ইমেইল,I will email you the document.,An envelope flying out of a laptop screen,"send an email, receive an email",
embarrass (v.),ɪmˈbærəs/ এমব্যারাস/ im-bar-uhs,"Cause (someone) to feel awkward, self-conscious, or ashamed",লজ্জিত করা,He didn't want to embarrass her in public.,A person blushing bright red while covering their face,"deeply embarrass, tend to embarrass",
embarrassed (adj.),ɪmˈbærəst/ এমব্যারাসড/ im-bar-uhst,Feeling or showing embarrassment,লজ্জিত,She felt embarrassed when she dropped her cup.,A cartoon face with big eyes blushing and sweating,"feel embarrassed, look embarrassed",
embarrassing (adj.),ɪmˈbærəsɪŋ/ এমব্যারাসিং/ im-bar-uh-sing,Causing embarrassment,বিব্রতকর,It was an embarrassing situation.,Someone tripping over a small rock in front of a crowd,"highly embarrassing, find embarrassing",
embarrassment (n.),ɪmˈbærəsmənt/ এমব্যারাসমেন্ট/ im-bar-uhs-muhnt,"A feeling of self-consciousness, shame, or awkwardness",বিব্রত অবস্থা,He hid his face in embarrassment.,A person nervously pulling their collar while sweating,"cause embarrassment, save from embarrassment",
emerge (v.),ɪˈmɜːdʒ/ ইমার্জ/ ih-murj,Move out of or away from something and come into view,নির্গত হওয়া / আবির্ভূত হওয়া,The sun emerged from behind the clouds.,A bright sun bursting through dark stormy clouds,"emerge from, slowly emerge",
emergency (n.),ɪˈmɜːdʒənsi/ ইমার্জেন্সি/ ih-mur-juhn-see,"A serious, unexpected, and often dangerous situation requiring immediate action",জরুরী অবস্থা,Call the police in case of an emergency.,A red flashing siren light on a white background,"emergency room, state of emergency",
emotion (n.),ɪˈmoʊʃn/ ইমোশন/ ih-moh-shuhn,"A strong feeling deriving from one's circumstances, mood, or relationships with others",আবেগ,She couldn't hide her emotion.,"A collage of happy, sad, angry, and surprised theater masks","display emotion, strong emotion",
emotional (adj.),ɪˈmoʊʃənl/ ইমোশনাল/ ih-moh-shuh-nl,Relating to a person's emotions,আবেগপ্রবণ,It was a very emotional reunion.,Two people hugging tightly with happy tears in their eyes,"emotional support, highly emotional",
emotionally (adv.),ɪˈmoʊʃənəli/ ইমোশনালি/ ih-moh-shuhn-uh-lee,In a way that relates to a person's emotions,আবেগগতভাবে,He is emotionally attached to his car.,A glowing red heart connected to a person by a string,"emotionally exhausted, emotionally stable",
emphasis (n.),ˈɛmfəsɪs/ এমফাসিস/ em-fuh-sis,"Special importance, value, or prominence given to something",জোর / গুরুত্ব,The school places a strong emphasis on sports.,A huge yellow highlighter drawing over a thick black line,"place emphasis, put emphasis",
emphasize (BrE also -ise) (v.),ˈɛmfəsaɪz/ এমফাসাইজ/ em-fuh-sahyz,Give special importance or prominence to (something) in speaking or writing,জোর দেওয়া,I must emphasize the importance of this task.,A person firmly underlining a word heavily on a glowing whiteboard,"strongly emphasize, emphasize the importance",
empire (n.),ˈɛmpaɪə/ এম্পায়ার/ em-pahy-er,An extensive group of states or countries under a single supreme authority,সাম্রাজ্য,The Roman Empire was very powerful.,A grand marble Colosseum glowing in golden sunlight,"build an empire, fall of an empire",
employ (v.),ɪmˈplɔɪ/ এমপ্লয়/ im-ploi,Give work to (someone) and pay them for it,নিয়োগ করা,The company employs 500 people.,A person enthusiastically shaking hands over a desk signing a contract,"employ someone, directly employ",
employee (n.),ɪmˈplɔɪiː/ এমপ্লয়ি/ im-ploi-ee,"A person employed for wages or salary, especially at nonexecutive level",কর্মচারী,Every employee will get a bonus.,A person wearing a neat uniform with a name tag,"full-time employee, former employee",
employer (n.),ɪmˈplɔɪə/ এমপ্লয়ার/ im-ploi-er,A person or organization that employs people,নিয়োগকর্তা,His employer provided health insurance.,A confident boss standing behind a large desk giving a thumbs up,"current employer, potential employer",
employment (n.),ɪmˈplɔɪmənt/ এমপ্লয়মেন্ট/ im-ploi-muhnt,The condition of having paid work,কর্মসংস্থান,She is looking for full-time employment.,A briefcase next to a contract on a desk,"full-time employment, seek employment",
"empty (adj.), (v.) ",ˈɛmpti/ এম্পটি/ emp-tee,Containing nothing; not filled or occupied,খালি,The glass is completely empty.,"An entirely empty, clear glass sitting on a table","empty handed, empty promises",
