Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
trace,"(v.), (n.)",The visual world — colour form & physical reality,"Direction, movement & navigation",treɪs/ ট্রেস/ trays,To find or follow a path; a mark left by something,খুঁজে বের করা / চিহ্ন,The detective traced the call to a nearby location.,"A detective on a computer screen tracing a phone call location with a map, dramatic dark setting","[
{
""phrase"": ""trace back"",
""example_sentence"": ""People often trace back when the situation requires it.""
},
{
""phrase"": ""without a trace"",
""example_sentence"": ""The phrase without a trace appeared in the report.""
},
{
""phrase"": ""trace element"",
""example_sentence"": ""People often trace element when the situation requires it.""
},
{
""phrase"": ""leave a trace"",
""example_sentence"": ""Please leave a trace before you go home.""
}
]","track, follow, find, mark",
under,"(prep.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌndə(r)/ আন্ডার/ un-dur,Beneath; less than,নিচে / কম,The cat hid under the bed.,"A cat peeking out from under a low bed, curious expression, cozy room","[
{
""phrase"": ""under pressure"",
""example_sentence"": ""The equipment remained under pressure throughout the inspection.""
},
{
""phrase"": ""under control"",
""example_sentence"": ""The equipment remained under control throughout the inspection.""
},
{
""phrase"": ""come under"",
""example_sentence"": ""Please come under if you need any help.""
},
{
""phrase"": ""fall under"",
""example_sentence"": ""Good managers know how to fall under others respectfully.""
}
]","beneath, below, less than, subject to","over, above"
underneath,"(prep.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˌʌndəˈniːθ/ আন্ডার্নিথ/ un-dur-neeth,Below or beneath something,নিচে / তলায়,There was a letter underneath the door.,"A white envelope visible just under a closed wooden door, close-up, morning light","[
{
""phrase"": ""hide underneath"",
""example_sentence"": ""People often hide underneath when the situation requires it.""
},
{
""phrase"": ""just underneath"",
""example_sentence"": ""There was a letter just underneath the door.""
},
{
""phrase"": ""look underneath"",
""example_sentence"": ""Please look underneath before signing the contract.""
},
{
""phrase"": ""underneath the surface"",
""example_sentence"": ""The underneath the surface of the moon is covered with craters.""
}
]","below, beneath, under","above, on top"
up,"(adv.), (prep.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ʌp/ আপ/ up,To or in a higher position,উপরে / উপরদিকে,She ran up the stairs to catch her flight.,"A woman rushing up a flight of stairs in an airport, luggage in hand, urgent scene","[
{
""phrase"": ""up and down"",
""example_sentence"": ""By noon, the situation was up and down.""
},
{
""phrase"": ""up to date"",
""example_sentence"": ""By noon, the situation was up to date.""
},
{
""phrase"": ""give up"",
""example_sentence"": ""The trainer was asked to give up during the session.""
},
{
""phrase"": ""stand up"",
""example_sentence"": ""Good managers know how to stand up others respectfully.""
}
]","higher, above, risen, increase","down, below"
upstairs,"(adv.), (adj.), (n.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˌʌpˈsteəz/ আপস্টেয়ার্স/ up-stairz,On or to a higher floor of a building,উপরের তলায়,The children are playing upstairs.,"Children running and playing in an upstairs hallway of a house, wooden floors, cheerful","[
{
""phrase"": ""go upstairs"",
""example_sentence"": ""We decided to go upstairs as soon as the weather improved.""
},
{
""phrase"": ""upstairs room"",
""example_sentence"": ""The discussion focused on the upstairs room.""
},
{
""phrase"": ""live upstairs"",
""example_sentence"": ""Many students hope to live upstairs during their first year at university.""
},
{
""phrase"": ""the upstairs"",
""example_sentence"": ""The discussion focused on the the upstairs.""
}
]","above, upper floor, overhead","downstairs, below"
outer,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈaʊtə/ আউটার/ ou-ter,Outside; external.,বহির্ভাগের,The outer layer of the cake is chocolate.,"A sliced cake showing a thick, dark chocolate coating on the outside.","[
{
""phrase"": ""outer space"",
""example_sentence"": ""The discussion focused on the outer space.""
},
{
""phrase"": ""outer layer"",
""example_sentence"": ""The outer layer of the cake is chocolate.""
}
]","external, outside, exterior, peripheral","inner, central"
entrance,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɛntrəns/ এন্ট্রান্স/ en-truhns,"An opening, such as a door, passage, or gate, that allows access to a place",প্রবেশদ্বার,The main entrance is at the front of the building.,"A grand, heavy wooden door with intricate carvings","[
{
""phrase"": ""main entrance"",
""example_sentence"": ""The main entrance is at the front of the building.""
},
{
""phrase"": ""grand entrance"",
""example_sentence"": ""The main grand entrance is at the front of the building.""
}
]","entry, door, way in, opening","exit, way out"
entry,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɛntri/ এন্ট্রি/ en-tree,The act of entering or a way in,প্রবেশ / অন্তর্ভুক্তি,Entry to the museum is free.,A bright turnstile gate with a green arrow pointing in,"[
{
""phrase"": ""free entry"",
""example_sentence"": ""Free entry to the museum is free.""
},
{
""phrase"": ""data entry"",
""example_sentence"": ""Data entry to the museum is free.""
}
]","entrance, access, admission, doorway","exit, departure"
forward (also forwards),(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈfɔːwəd/ ফরওয়ার্ড/ fawr-werd,Towards the front; in the direction that one is facing or traveling,সম্মুখে,He leaned forward to hear better.,A person leaning intently towards a speaker,"[
{
""phrase"": ""look forward to"",
""example_sentence"": ""Please look forward to before signing the contract.""
},
{
""phrase"": ""move forward"",
""example_sentence"": ""The company plans to move forward next month.""
}
]","ahead, onward, towards front","backward, behind"
onto,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɪntuː/ ইনটু/ in-too,Moving to a location on the surface of.,উপর দিকে,The cat jumped onto the table.,"A cat mid-air, leaping gracefully upwards onto the surface of a dining table.","[
{
""phrase"": ""step onto"",
""example_sentence"": ""The discussion focused on the step onto.""
},
{
""phrase"": ""hold onto"",
""example_sentence"": ""The team agreed to hold onto on Friday morning.""
}
]","on to, upon, on the surface of","off, away from"
presence,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈprɛzns/ প্রেজেন্স/ prez-uhns,"The state or fact of existing, occurring, or being present in a place or thing.",উপস্থিতি,His presence in the room made everyone nervous.,"A powerful, glowing aura surrounding a confident person standing in a room.","[
{
""phrase"": ""in the presence of"",
""example_sentence"": ""The project remained in the presence of despite the sudden changes.""
},
{
""phrase"": ""physical presence"",
""example_sentence"": ""His physical presence in the room made everyone nervous.""
}
]","being there, existence, attendance, company",absence
upper,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpə/ আপার/ uhp-er,Situated above another part,উপরের,The upper floor of the house is empty.,The top level of a tall building highlighted in bright yellow,"[
{
""phrase"": ""upper floor"",
""example_sentence"": ""The upper floor of the house is empty.""
},
{
""phrase"": ""upper class"",
""example_sentence"": ""The discussion focused on the upper class.""
}
]","higher, top, above, superior","lower, below"
upside down,(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpsaɪd daʊn/ আপসাইড ডাউন/ uhp-sahyd down,With the upper part where the lower part should be; in or into an inverted position,উল্টানো,He hung the picture upside down.,A painting hanging on a wall completely inverted,"[
{
""phrase"": ""turn upside down"",
""example_sentence"": ""The operator had to turn upside down during the demonstration.""
},
{
""phrase"": ""hang upside down"",
""example_sentence"": ""Good managers know how to hang upside down others respectfully.""
}
]","inverted, topsy-turvy, reversed",right-side up
upwards,(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpwədz/ আপওয়ার্ডস/ uhp-werdz,"Towards a higher place, point, or level",উপরের দিকে,He looked upwards at the stars.,A person gazing high into the night sky,"[
{
""phrase"": ""point upwards"",
""example_sentence"": ""People often point upwards when the situation requires it.""
},
{
""phrase"": ""move upwards"",
""example_sentence"": ""The company plans to move upwards next month.""
}
]","up, above, higher, increasing",downwards
there,(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ðɛə/ দেয়ার/ thair,"In, at, or to that place or position",সেখানে,Please put the box over there.,A person carrying a box and pointing to an empty corner,"[
{
""phrase"": ""over there"",
""example_sentence"": ""Please put the box over there.""
},
{
""phrase"": ""right there"",
""example_sentence"": ""The discussion focused on the right there.""
}
]","in that place, at that point, over there",here
upon,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",əˈpɒn/ আপন/ uh-pon,"More formal term for on, especially in abstract senses",উপরে,It depends upon the weather.,A majestic crown resting carefully upon a velvet pillow,"[
{
""phrase"": ""based upon"",
""example_sentence"": ""The discussion focused on the based upon.""
},
{
""phrase"": ""depend upon"",
""example_sentence"": ""The discussion focused on the depend upon.""
}
]","on, on top of, against, at the time of","off, below"
give sth away,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",ɡɪv əˈweɪ/ গিভ অ্যাওয়ে/ giv uh-wey,Give something to someone for free,বিলি করা / দান করা,They are giving away free samples at the store.,A person handing out colorful balloons to children in a crowd,"[
{
""phrase"": ""give away money"",
""example_sentence"": ""The trainer was asked to give away money during the session.""
},
{
""phrase"": ""give away a secret"",
""example_sentence"": ""The trainer was asked to give away a secret during the session.""
}
]","donate, hand over, reveal, disclose","keep, conceal"
go down,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",ɡoʊ daʊn/ গো ডাউন/ goh down,Descend or fall,নিচে নামা,The sun is going down.,A glowing orange sun setting below the ocean horizon,"[
{
""phrase"": ""prices go down"",
""example_sentence"": ""The discussion focused on the prices go down.""
},
{
""phrase"": ""go down the stairs"",
""example_sentence"": ""We decided to go down the stairs as soon as the weather improved.""
}
]","decrease, descend, fall, sink","rise, go up"
look forward to,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",lʊk ˈfɔːwəd tuː/ লুক ফরোয়ার্ড টু/ lʊk fawr-werd too,Await eagerly.,অধীর আগ্রহে অপেক্ষা করা,I look forward to meeting you.,A smiling person looking excitedly at a calendar with a circled date.,"[
{
""phrase"": ""really look forward to"",
""example_sentence"": ""The discussion focused on the really look forward to.""
},
{
""phrase"": ""look forward to seeing"",
""example_sentence"": ""Please look forward to seeing before signing the contract.""
}
]","anticipate, eagerly await, be excited about","dread, fear"
next to,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",nɛkst tuː/ নেক্সট টু/ nekst too,Beside.,পাশে,She sat next to me on the bus.,Two empty bus seats right beside each other.,"[
{
""phrase"": ""right next to"",
""example_sentence"": ""The discussion focused on the right next to.""
},
{
""phrase"": ""stand next to"",
""example_sentence"": ""Good managers know how to stand next to others respectfully.""
}
]","beside, adjacent to, alongside","away from, opposite"
position,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",pəˈzɪʃn/ পজিশন/ puh-zish-uhn,A place where someone or something is located or has been put.,অবস্থান,He holds a high position in the company.,A glowing red map marker showing a precise location on a detailed street map.,"[
{
""phrase"": ""in position"",
""example_sentence"": ""The project remained in position despite the sudden changes.""
},
{
""phrase"": ""high position"",
""example_sentence"": ""He holds a high position in the company.""
}
]","place, location, role, stance",
side,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",saɪd/ সাইড/ syd,"A position to the left or right of an object, place, or central point.",পাশ / দিক,He stood on the right side of the road.,A cube with one of its flat sides glowing in blue light.,"[
{
""phrase"": ""left side"",
""example_sentence"": ""He stood on the right left side of the road.""
},
{
""phrase"": ""side by side"",
""example_sentence"": ""He stood on the right side by side of the road.""
}
]","edge, aspect, team, flank",
surround,(v.),The visual world — colour form & physical reality,"Direction, movement & navigation",səˈraʊnd/ সারাউন্ড/ suh-rownd,Be all around (someone or something),ঘিরে রাখা,Tall trees surround the house.,A cozy cabin completely encircled by tall pine trees,"[
{
""phrase"": ""surround oneself"",
""example_sentence"": ""People often surround oneself when the situation requires it.""
},
{
""phrase"": ""perfectly surround"",
""example_sentence"": ""The discussion focused on the perfectly surround.""
}
]","encircle, enclose, encompass, ring","expose, open"
sit down,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",sɪt daʊn/ সিট ডাউন/ sit down,To move from a standing position to a sitting position.,বসে পড়া,Everyone please sit down.,An arrow indicating a downward motion onto a chair.,"[
{
""phrase"": ""sit down and relax"",
""example_sentence"": ""People often sit down and relax when the situation requires it.""
},
{
""phrase"": ""ask to sit down"",
""example_sentence"": ""Good managers know how to ask to sit down others respectfully.""
}
]","be seated, take a seat, rest",stand up
towards,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",təˈwɔːdz/ টুয়ার্ডস/ tuh-wawrdz,In the direction of,দিকে,She walked towards the door.,A glowing green arrow pointing straight ahead down a hallway,"[
{
""phrase"": ""run towards"",
""example_sentence"": ""It is difficult to run towards without clear procedures.""
},
{
""phrase"": ""lean towards"",
""example_sentence"": ""The discussion focused on the lean towards.""
}
]","in the direction of, near, approaching",away from
mind,"(n.), (v.)","Language of thought, action & change","Judgment, memory & opinion",maɪnd/ মাইন্ড/ mynd,The thinking faculty; to object to; to take care of,মন / আপত্তি করা,Do you mind if I open the window?,A person politely gesturing to a window asking permission from another person in a room,"[
{
""phrase"": ""open mind"",
""example_sentence"": ""Could you open mind for a moment, please?""
},
{
""phrase"": ""never mind"",
""example_sentence"": ""The discussion focused on the never mind.""
},
{
""phrase"": ""mind your own business"",
""example_sentence"": ""People often mind your own business when the situation requires it.""
},
{
""phrase"": ""bear in mind"",
""example_sentence"": ""The discussion focused on the bear in mind.""
}
]","brain, intellect, think, care about","body, ignore"
regard,"(v.), (n.)","Language of thought, action & change","Judgment, memory & opinion",rɪˈɡɑːd/ রিগার্ড/ ri-gard,To consider in a certain way; a feeling of respect,বিবেচনা করা / শ্রদ্ধা,She is widely regarded as an expert in her field.,"A presenter being introduced on a stage with applause, professional conference setting","[
{
""phrase"": ""in this regard"",
""example_sentence"": ""The project remained in this regard despite the sudden changes.""
},
{
""phrase"": ""with regard to"",
""example_sentence"": ""The team continued the work with regard to.""
},
{
""phrase"": ""high regard"",
""example_sentence"": ""The discussion focused on the high regard.""
},
{
""phrase"": ""regard as"",
""example_sentence"": ""Good managers know how to regard as others respectfully.""
}
]","respect, view, consider, esteem","disregard, ignore"
though,"(conj.), (adv.)","Language of thought, action & change","Judgment, memory & opinion",ðəʊ/ দো/ thoh,Despite the fact that; however,যদিও / তথাপি,Though it was raining,they went for a walk.,"[
{
""phrase"": ""Two people walking in the rain with colorful umbrellas"",
""example_sentence"": ""The discussion focused on the Two people walking in the rain with colorful umbrellas.""
},
{
""phrase"": ""cheerful mood despite the weather"",
""example_sentence"": ""The cheerful mood despite the weather is beautiful today.""
}
]","although, however, even so, despite",
argue,(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈɑːɡjuː/ আর্গিউ/ ahr-gyoo,"Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others",যুক্তি দেওয়া / তর্ক করা,They frequently argue about money.,Two silhouetted figures with crossed arms facing each other intensely,"[
{
""phrase"": ""argue about"",
""example_sentence"": ""They frequently argue about money.""
},
{
""phrase"": ""argue with"",
""example_sentence"": ""Good managers know how to argue with others respectfully.""
},
{
""phrase"": ""passionately argue"",
""example_sentence"": ""The discussion focused on the passionately argue.""
}
]","debate, dispute, quarrel, contend","agree, concede"
mental,(adj.),"Language of thought, action & change","Judgment, memory & opinion",ˈmɛntl/ মেন্টাল/ men-tl,Relating to the mind.,মানসিক,Playing chess is good for your mental health.,A peaceful human silhouette with calming blue abstract waves flowing through the head area.,"[
{
""phrase"": ""mental health"",
""example_sentence"": ""Playing chess is good for your mental health.""
},
{
""phrase"": ""mental illness"",
""example_sentence"": ""The discussion focused on the mental illness.""
}
]","psychological, intellectual, cognitive","physical, bodily"
mystery,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈmɪstəri/ মিস্ট্রি/ mis-tuh-ree,Something that is difficult or impossible to understand or explain.,রহস্য,The missing keys remain a mystery.,"A glowing, floating question mark inside a dark, ancient, stone room.","[
{
""phrase"": ""unsolved mystery"",
""example_sentence"": ""The missing keys remain a unsolved mystery.""
},
{
""phrase"": ""murder mystery"",
""example_sentence"": ""The missing keys remain a murder mystery.""
}
]","puzzle, enigma, riddle, secret","certainty, explanation"
recognize (BrE also -ise),(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈrekəɡnaɪz/ রিকগনাইজ/ rek-uhg-nize,Identify (someone or something) from having encountered them before; know again.,চিনতে পারা / স্বীকৃতি দেওয়া,I didn't recognize you with your new haircut.,"A person looking pleasantly surprised, pointing at a friend they just recognized.","[
{
""phrase"": ""instantly recognize"",
""example_sentence"": ""The discussion focused on the instantly recognize.""
},
{
""phrase"": ""clearly recognize"",
""example_sentence"": ""People often clearly recognize when the situation requires it.""
}
]","identify, know, acknowledge, spot","ignore, overlook"
reckon,(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈrekən/ রেকন/ rek-uhn,Consider or believe; calculate.,মনে করা / হিসাব করা,I reckon it will rain today.,"A person looking at the sky, thoughtfully predicting the weather.","[
{
""phrase"": ""reckon with"",
""example_sentence"": ""Good managers know how to reckon with others respectfully.""
},
{
""phrase"": ""reckon that"",
""example_sentence"": ""People often reckon that when the situation requires it.""
}
]","think, believe, consider, calculate",
realize (BrE also -ise),(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈriːəlaɪz/ রিয়ালাইজ/ ree-uh-lahyz,Become fully aware of (something) as a fact; understand clearly.,উপলব্ধি করা,I didn't realize how late it was.,A person looking at a clock with wide eyes in sudden realization.,"[
{
""phrase"": ""suddenly realize"",
""example_sentence"": ""The discussion focused on the suddenly realize.""
},
{
""phrase"": ""fail to realize"",
""example_sentence"": ""The discussion focused on the fail to realize.""
}
]","understand, grasp, achieve, become aware","miss, fail"
reason,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈriːzn/ রিজন/ ree-zuhn,"A cause, explanation, or justification for an action or event.",কারণ,Give me one good reason to stay.,A thought bubble filled with a bright glowing question mark.,"[
{
""phrase"": ""main reason"",
""example_sentence"": ""Give me one good main reason to stay.""
},
{
""phrase"": ""for this reason"",
""example_sentence"": ""We waited for a while before the train finally arrived.""
}
]","cause, motive, purpose, explanation","effect, result"
reasonably,(adv.),"Language of thought, action & change","Judgment, memory & opinion",ˈriːznəbli/ রিজনেবলি/ ree-zuhn-uh-blee,In a fair and sensible way.,যুক্তিযুক্তভাবে,The car is reasonably priced.,A price tag on a nice car showing an affordable number.,"[
{
""phrase"": ""reasonably priced"",
""example_sentence"": ""The car is reasonably priced.""
},
{
""phrase"": ""reasonably well"",
""example_sentence"": ""He is a reasonably well known author.""
}
]","fairly, quite, sensibly, justifiably","unreasonably, unfairly"
sensible,(adj.),"Language of thought, action & change","Judgment, memory & opinion",ˈsensəbl/ সেনসিবল/ sen-suh-buhl,Chosen in accordance with wisdom or prudence; likely to be of benefit.,বিচক্ষণ / যুক্তিযুক্ত,Wearing a warm coat is a sensible idea.,A person dressed appropriately in warm winter clothes in a snowy landscape.,"[
{
""phrase"": ""sensible choice"",
""example_sentence"": ""The discussion focused on the sensible choice.""
},
{
""phrase"": ""highly sensible"",
""example_sentence"": ""The result seemed highly sensible after the final review.""
}
]","reasonable, wise, practical, logical","foolish, senseless"
theory,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈθɪəri/ থিওরি/ thee-uh-ree,"A supposition or a system of ideas intended to explain something, especially one based on general principles independent of the thing to be explained",তত্ত্ব,Einstein proposed the theory of relativity.,A chalk board filled with complex physics equations like E=mc^2,"[
{
""phrase"": ""in theory"",
""example_sentence"": ""The project remained in theory despite the sudden changes.""
},
{
""phrase"": ""scientific theory"",
""example_sentence"": ""Einstein proposed the scientific theory of relativity.""
}
]","hypothesis, concept, explanation, model","fact, practice"
thinking,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈθɪŋkɪŋ/ থিংকিং/ thing-king,The process of using one's mind to consider or reason about something,চিন্তাভাবনা,He did some deep thinking before answering.,A glowing brain with interlocking turning gears inside,"[
{
""phrase"": ""logical thinking"",
""example_sentence"": ""The discussion focused on the logical thinking.""
},
{
""phrase"": ""wishful thinking"",
""example_sentence"": ""The discussion focused on the wishful thinking.""
}
]","thought, reasoning, opinion, judgement",
recognition,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˌrekəɡˈnɪʃn/ রিকগনিশন/ rek-uhg-nish-uhn,Identification of someone or something or person from previous encounters or knowledge.,স্বীকৃতি / চেনা,He changed so much he was beyond recognition.,A face-scanning computer graphic analyzing the features of a person.,"[
{
""phrase"": ""international recognition"",
""example_sentence"": ""The discussion focused on the international recognition.""
},
{
""phrase"": ""gain recognition"",
""example_sentence"": ""The discussion focused on the gain recognition.""
}
]","acknowledgement, identification, appreciation","ignorance, denial"
mad,(adj.),"Language of thought, action & change","Judgment, memory & opinion",mæd/ ম্যাড/ mad,Very angry; mentally ill.,পাগল / রাগান্বিত,Are you still mad at me?,"A cartoon face with red skin, furrowed brows, and steam coming out of its ears.","[
{
""phrase"": ""get mad"",
""example_sentence"": ""With regular practice, you will get mad soon.""
},
{
""phrase"": ""drive someone mad"",
""example_sentence"": ""People often drive someone mad when the situation requires it.""
}
]","crazy, insane, furious, angry","sane, calm"
mysterious,(adj.),"Language of thought, action & change","Judgment, memory & opinion",mɪsˈtɪəriəs/ মিস্টেরিয়াস/ mi-steer-ee-uhs,"Difficult or impossible to understand, explain, or identify.",রহস্যময়,A mysterious stranger arrived in town.,A shadowy figure in a long coat and fedora hat standing under a dim streetlamp in fog.,"[
{
""phrase"": ""mysterious circumstances"",
""example_sentence"": ""The discussion focused on the mysterious circumstances.""
},
{
""phrase"": ""mysterious disappearance"",
""example_sentence"": ""The discussion focused on the mysterious disappearance.""
}
]","puzzling, strange, unknown, inexplicable","clear, obvious"
particular,(adj.),"Language of thought, action & change","Judgment, memory & opinion",pəˈtɪkjʊlə/ পার্টিকুলার/ per-tik-yuh-ler,Used to single out an individual member of a specified group or class.,বিশেষ / নির্দিষ্ট,I'm looking for a particular book.,A magnifying glass focusing directly on one specific red book in a shelf of grey books.,"[
{
""phrase"": ""in particular"",
""example_sentence"": ""The project remained in particular despite the sudden changes.""
},
{
""phrase"": ""particular attention"",
""example_sentence"": ""The noise caught my particular attention.""
}
]","specific, distinct, special, precise","general, broad"
predict,(v.),"Language of thought, action & change","Judgment, memory & opinion",prɪˈdɪkt/ প্রেডিক্ট/ pri-dikt,Say or estimate that (a specified thing) will happen in the future or will be a consequence of something.,ভবিষ্যদ্বাণী করা,It is difficult to predict the weather.,A glowing crystal ball showing swirling storm clouds predicting the weather.,"[
{
""phrase"": ""predict the future"",
""example_sentence"": ""People often predict the future when the situation requires it.""
},
{
""phrase"": ""difficult to predict"",
""example_sentence"": ""It is difficult to predict the weather.""
}
]","forecast, foresee, anticipate, expect",
pretend,(v.),"Language of thought, action & change","Judgment, memory & opinion",prɪˈtɛnd/ প্রিটেন্ড/ pri-tend,Speak and act so as to make it appear that something is the case when in fact it is not.,ভান করা,He tried to pretend that everything was fine.,A person wearing a smiling theatrical mask while holding a sad face behind it.,"[
{
""phrase"": ""pretend to be"",
""example_sentence"": ""People often pretend to be when the situation requires it.""
},
{
""phrase"": ""don't pretend"",
""example_sentence"": ""The discussion focused on the don't pretend.""
}
]","fake, act, claim, make believe","be truthful, reveal"
reflect,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈflekt/ রিফ্লেক্ট/ rih-flekt,"Throw back (heat, light, or sound) without absorbing it.",প্রতিফলিত করা,The water reflected the sunlight.,A calm lake perfectly reflecting the bright setting sun and clouds.,"[
{
""phrase"": ""reflect on"",
""example_sentence"": ""Good managers know how to reflect on others respectfully.""
},
{
""phrase"": ""clearly reflect"",
""example_sentence"": ""People often clearly reflect when the situation requires it.""
}
]","consider, ponder, mirror, think about","ignore, act without thinking"
recall,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈkɔːl/ রিকল/ ri-kawl,"Bring (a fact, event, or situation) back into one's mind; remember.",স্মরণ করা,I cannot recall his name.,A person tapping their chin while looking up at a blurry thought bubble.,"[
{
""phrase"": ""vividly recall"",
""example_sentence"": ""The discussion focused on the vividly recall.""
},
{
""phrase"": ""recall seeing"",
""example_sentence"": ""People often recall seeing when the situation requires it.""
}
]","remember, recollect, bring back, remind",forget
remind,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈmaɪnd/ রিমাইন্ড/ rih-mind,Cause (someone) to remember someone or something.,মনে করিয়ে দেওয়া,Please remind me to call him.,A red string tied neatly around an index finger to act as a memory aid.,"[
{
""phrase"": ""remind someone of"",
""example_sentence"": ""Good managers know how to remind someone of others respectfully.""
},
{
""phrase"": ""gently remind"",
""example_sentence"": ""Please gently remind me to call him.""
}
]","prompt, refresh memory, bring to mind",
remember,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈmembə(r)/ রিমেম্বার/ rih-mem-ber,Have in or be able to bring to one's mind an awareness of (someone or something from the past).,মনে রাখা / স্মরণ করা,Do you remember me?,A lightbulb switching on inside a glowing brain outline.,"[
{
""phrase"": ""clearly remember"",
""example_sentence"": ""The team was able to clearly remember when needed.""
},
{
""phrase"": ""fail to remember"",
""example_sentence"": ""The discussion focused on the fail to remember.""
}
]","recall, recollect, retain, not forget",forget
realistic,(adj.),"Language of thought, action & change","Judgment, memory & opinion",rɪəˈlɪstɪk/ রিয়ালিস্টিক/ ree-uh-lis-tik,Having or showing a sensible and practical idea of what can be achieved or expected.,বাস্তবসম্মত,We need to set realistic goals.,"A person writing down achievable, concrete steps on a large goal-setting board.","[
{
""phrase"": ""realistic goal"",
""example_sentence"": ""We need to set realistic goals.""
},
{
""phrase"": ""highly realistic"",
""example_sentence"": ""The result seemed highly realistic after the final review.""
}
]","practical, sensible, achievable, down-to-earth","unrealistic, idealistic"
suggest,(v.),"Language of thought, action & change","Judgment, memory & opinion",səˈdʒɛst/ সাজেস্ট/ suh-jest,Put forward for consideration,পরামর্শ দেওয়া,I suggest we go to the park.,A person with a glowing lightbulb over their head speaking,"[
{
""phrase"": ""strongly suggest"",
""example_sentence"": ""People often strongly suggest when the situation requires it.""
},
{
""phrase"": ""suggest an idea"",
""example_sentence"": ""People often suggest an idea when the situation requires it.""
}
]","propose, recommend, advise, hint","reject, dismiss"
suggestion,(n.),"Language of thought, action & change","Judgment, memory & opinion",səˈdʒɛstʃən/ সাজেশন/ suh-jes-chuhn,An idea or plan put forward for consideration,পরামর্শ,That is a very good suggestion.,A suggestion box with a folded piece of paper going into it,"[
{
""phrase"": ""make a suggestion"",
""example_sentence"": ""The team decided to make a suggestion before the deadline.""
},
{
""phrase"": ""helpful suggestion"",
""example_sentence"": ""That is a very good helpful suggestion.""
}
]","proposal, recommendation, idea, tip",rejection
suppose,(v.),"Language of thought, action & change","Judgment, memory & opinion",səˈpoʊz/ সাপোজ/ suh-pohz,Assume that something is the case on the basis of evidence or probability but without proof or certain knowledge,মনে করা / ধারণা করা,I suppose you are right.,A person scratching their chin looking thoughtful with a question mark,"[
{
""phrase"": ""suppose so"",
""example_sentence"": ""People often suppose so when the situation requires it.""
},
{
""phrase"": ""generally supposed"",
""example_sentence"": ""The discussion focused on the generally supposed.""
}
]","assume, presume, imagine, guess","know, be certain"
specific,(adj.),"Language of thought, action & change","Judgment, memory & opinion",spəˈsɪfɪk/ স্পেসিফিক/ spuh-sif-ik,Clearly defined or identified,নির্দিষ্ট,I need specific instructions to complete the task.,A person pointing exactly at one red dot among many gray dots,"[
{
""phrase"": ""specific detail"",
""example_sentence"": ""The discussion focused on the specific detail.""
},
{
""phrase"": ""specific purpose"",
""example_sentence"": ""What is the specific purpose of your visit?""
}
]","particular, precise, exact, detailed","general, vague"
