Type,Phrase,Pronunciation,Sounds_Like,Bangla_Pronunciation,Meaning,Bangla_Meaning,Collocations,Bangla Collocation,Synonyms,Antonyms,CEFR_Level,Learner_Sublist,example sentence,Bangla example sentence,image prompt related to the example sentence,example sentence (3 sentences in an array)
Phrasal Verb,unlock,/ənlɑk/,un-LOCK,আন্লাক,To reveal potential; to open access,সম্ভাবনা প্রকাশ করা; প্রবেশাধিকার খুলে দেওয়া,"[{""phrase"": ""unlock the issue"", ""example_sentence"": ""The manager asked the team to unlock the issue before the deadline.""}, {""phrase"": ""unlock the plan"", ""example_sentence"": ""Students learned how to unlock the plan in a practical exercise.""}, {""phrase"": ""unlock the task"", ""example_sentence"": ""We need to unlock the task carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি সম্ভাবনা প্রকাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি সম্ভাবনা প্রকাশ করা অনুশীলন করে।""}, {""phrase"": ""পরিকল্পনাটি সম্ভাবনা প্রকাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি সম্ভাবনা প্রকাশ করা অনুশীলন করে।""}, {""phrase"": ""কাজটি সম্ভাবনা প্রকাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি সম্ভাবনা প্রকাশ করা অনুশীলন করে।""}]",open access; release potential; make available,lock; restrict; block,A2,"06 - Progress, Success & Results","During the day, Sam had to unlock.","দিনের মধ্যে, স্যামকে সম্ভাবনা প্রকাশ করা বা প্রবেশাধিকার খুলে দেওয়া প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Ella had to unlock before lunch."", ""We decided to unlock during the meeting."", ""They want to unlock this week.""]"
Phrasal Verb,validate,/vælədeɪt/,VAL-uh-dayt,ভ্যালাডেইট,To confirm or prove something is correct,কোনো কিছু সঠিক তা নিশ্চিত বা প্রমাণ করা,"[{""phrase"": ""validate the problem"", ""example_sentence"": ""The manager asked the team to validate the problem before the deadline.""}, {""phrase"": ""validate the answer"", ""example_sentence"": ""Students learned how to validate the answer in a practical exercise.""}, {""phrase"": ""validate the idea"", ""example_sentence"": ""We need to validate the idea carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি প্রমাণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি প্রমাণ করা অনুশীলন করে।""}, {""phrase"": ""উত্তরটি প্রমাণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে উত্তরটি প্রমাণ করা অনুশীলন করে।""}, {""phrase"": ""ধারণাটি প্রমাণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ধারণাটি প্রমাণ করা অনুশীলন করে।""}]",confirm; prove correct; verify,disprove; invalidate; refute,A2,"02 - Thinking, Learning & Understanding","After school, Ella had to validate.","স্কুলের পর, এলাকে কোনো কিছু সঠিক তা নিশ্চিত বা প্রমাণ করা প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Jonah had to validate before lunch."", ""We decided to validate during the meeting."", ""They want to validate this week.""]"
Phrasal Verb,voice concerns,/vɔɪs kənsɝnz/,VOYS KUN-sernz,ভয়স কান্সারন্জ,To express worries or objections,উদ্বেগ বা আপত্তি প্রকাশ করা,"[{""phrase"": ""voice concerns a topic"", ""example_sentence"": ""The manager asked the team to voice concerns a topic before the deadline.""}, {""phrase"": ""voice concerns an issue"", ""example_sentence"": ""Students learned how to voice concerns an issue in a practical exercise.""}, {""phrase"": ""voice concerns the message"", ""example_sentence"": ""We need to voice concerns the message carefully before we move forward.""}]","[{""phrase"": ""একটি বিষয় আপত্তি প্রকাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি বিষয় আপত্তি প্রকাশ করা অনুশীলন করে।""}, {""phrase"": ""একটি সমস্যা আপত্তি প্রকাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমস্যা আপত্তি প্রকাশ করা অনুশীলন করে।""}, {""phrase"": ""বার্তাটি আপত্তি প্রকাশ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে বার্তাটি আপত্তি প্রকাশ করা অনুশীলন করে।""}]",express worries; raise objections; speak up,stay silent; hide concerns; approve quietly,A2,01 - Communication & Discussion,"At work, Jonah had to voice concerns.","কর্মক্ষেত্রে, জোনাহকে উদ্বেগ বা আপত্তি প্রকাশ করা প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Leila had to voice concerns before lunch."", ""We decided to voice concerns during the meeting."", ""They want to voice concerns this week.""]"
Phrasal Verb,weigh in on,/weɪ ɪn ɑn/,WAY een on,ওয়ে ইন অন,To contribute an opinion to a discussion,আলোচনায় নিজের মত দিয়ে অবদান রাখা,"[{""phrase"": ""weigh in on a topic"", ""example_sentence"": ""The manager asked the team to weigh in on a topic before the deadline.""}, {""phrase"": ""weigh in on an issue"", ""example_sentence"": ""Students learned how to weigh in on an issue in a practical exercise.""}, {""phrase"": ""weigh in on the message"", ""example_sentence"": ""We need to weigh in on the message carefully before we move forward.""}]","[{""phrase"": ""একটি বিষয় আলোচনায় নিজের মত দিয়ে অবদান রাখা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি বিষয় আলোচনায় নিজের মত দিয়ে অবদান রাখা অনুশীলন করে।""}, {""phrase"": ""একটি সমস্যা আলোচনায় নিজের মত দিয়ে অবদান রাখা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি সমস্যা আলোচনায় নিজের মত দিয়ে অবদান রাখা অনুশীলন করে।""}, {""phrase"": ""বার্তাটি আলোচনায় নিজের মত দিয়ে অবদান রাখা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে বার্তাটি আলোচনায় নিজের মত দিয়ে অবদান রাখা অনুশীলন করে।""}]",give an opinion; contribute views; comment on,stay out; withhold opinion; remain silent,B1,01 - Communication & Discussion,"During an office meeting, Leila had to weigh in on the late delivery so the team could discuss it.",ব্যক্তিটি আলোচনায় নিজের মত দিয়ে অবদান রাখা করেছিল।,"glass-walled office meeting, one employee speaking while coworkers listen around a table with laptops and delivery papers. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Please weigh in on the budget issue today."", ""Victor wanted to weigh in on the class trip at lunch."", ""The teacher asked us to weigh in on one more point.""]"
Phrasal Verb,whittle down,/wɪtəl daʊn/,WEETOOHL DOWN,ওয়িটাল ডাউন,To reduce gradually to a manageable size,ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা,"[{""phrase"": ""whittle down the issue"", ""example_sentence"": ""The manager asked the team to whittle down the issue before the deadline.""}, {""phrase"": ""whittle down the plan"", ""example_sentence"": ""Students learned how to whittle down the plan in a practical exercise.""}, {""phrase"": ""whittle down the task"", ""example_sentence"": ""We need to whittle down the task carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা অনুশীলন করে।""}, {""phrase"": ""পরিকল্পনাটি ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা অনুশীলন করে।""}, {""phrase"": ""কাজটি ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা অনুশীলন করে।""}]",reduce gradually; narrow down; cut down,expand; increase; add more,A2,"08 - Change, Growth, Rules & Control","For the environment, Victor decided to whittle down plastic use in the office.","পরিবেশের জন্য, ভিক্টর অফিসে প্লাস্টিকের ব্যবহার ধীরে ধীরে কমিয়ে সামলানোর মতো আকারে আনা করার সিদ্ধান্ত নিয়েছিল।","office kitchen with reusable bottles and containers replacing plastic items. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""The family wants to whittle down on waste this month."", ""Mason decided to whittle down after looking at the bill."", ""We need to whittle down before the exam week.""]"
Phrasal Verb,window in,/wɪndoʊ ɪn/,WIN-doh een,ওয়িন্ডো ইন,To find a time slot in a busy schedule,ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া,"[{""phrase"": ""window in the issue"", ""example_sentence"": ""The manager asked the team to window in the issue before the deadline.""}, {""phrase"": ""window in the plan"", ""example_sentence"": ""Students learned how to window in the plan in a practical exercise.""}, {""phrase"": ""window in the task"", ""example_sentence"": ""We need to window in the task carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া অনুশীলন করে।""}, {""phrase"": ""পরিকল্পনাটি ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া অনুশীলন করে।""}, {""phrase"": ""কাজটি ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া অনুশীলন করে।""}]",find a time slot; schedule; fit in,leave unscheduled; overbook; cancel,A2,"05 - Time, Scheduling & Process","At work, Hana had to window in.","কর্মক্ষেত্রে, হানাকে ব্যস্ত সময়সূচিতে সময়ের ফাঁক খুঁজে নেওয়া প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Mason had to window in before lunch."", ""We decided to window in during the meeting."", ""They want to window in this week.""]"
Phrasal Verb,work around,/wɝk ɚaʊnd/,WERK uh-round,ওয়ার্ক আরআউন্ড,To find an alternative solution to a constraint,সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া,"[{""phrase"": ""work around the problem"", ""example_sentence"": ""The manager asked the team to work around the problem before the deadline.""}, {""phrase"": ""work around the risk"", ""example_sentence"": ""Students learned how to work around the risk in a practical exercise.""}, {""phrase"": ""work around the mistake"", ""example_sentence"": ""We need to work around the mistake carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া অনুশীলন করে।""}, {""phrase"": ""ঝুঁকিটি সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ঝুঁকিটি সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া অনুশীলন করে।""}, {""phrase"": ""ভুলটি সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ভুলটি সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া অনুশীলন করে।""}]",find an alternative; bypass; solve indirectly,confront directly; give up; be blocked,A2,"07 - Problems, Difficulty & Risk","During the day, Mason had to work around.","দিনের মধ্যে, মেসনকে সীমাবদ্ধতার বিকল্প সমাধান খুঁজে নেওয়া প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Nina had to work around before lunch."", ""We decided to work around during the meeting."", ""They want to work around this week.""]"
Phrasal Verb,write up,/raɪt ʌp/,RYT up,রাইট আপ,To produce a formal written account of something,কোনো বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা,"[{""phrase"": ""write up the issue"", ""example_sentence"": ""The manager asked the team to write up the issue before the deadline.""}, {""phrase"": ""write up the plan"", ""example_sentence"": ""Students learned how to write up the plan in a practical exercise.""}, {""phrase"": ""write up the task"", ""example_sentence"": ""We need to write up the task carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা অনুশীলন করে।""}, {""phrase"": ""পরিকল্পনাটি বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা অনুশীলন করে।""}, {""phrase"": ""কাজটি বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা অনুশীলন করে।""}]",write formally; produce a report; document,leave unwritten; erase; ignore,A2,"10 - Money, Business, Technology & Movement","After school, Nina had to write up.","স্কুলের পর, নিনাকে কোনো বিষয়ের আনুষ্ঠানিক লিখিত বিবরণ তৈরি করা প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Adam had to write up before lunch."", ""We decided to write up during the meeting."", ""They want to write up this week.""]"
Phrasal Verb,yield to,/jild tu/,YEELD too,য়িল্ড টু,To give way to pressure or a superior force,চাপ বা শক্তিশালী পক্ষের কাছে নতি স্বীকার করা,"[{""phrase"": ""yield to the problem"", ""example_sentence"": ""The manager asked the team to yield to the problem before the deadline.""}, {""phrase"": ""yield to the risk"", ""example_sentence"": ""Students learned how to yield to the risk in a practical exercise.""}, {""phrase"": ""yield to the mistake"", ""example_sentence"": ""We need to yield to the mistake carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি শক্তিশালী পক্ষের কাছে নতি স্বীকার করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি শক্তিশালী পক্ষের কাছে নতি স্বীকার করা অনুশীলন করে।""}, {""phrase"": ""ঝুঁকিটি শক্তিশালী পক্ষের কাছে নতি স্বীকার করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ঝুঁকিটি শক্তিশালী পক্ষের কাছে নতি স্বীকার করা অনুশীলন করে।""}, {""phrase"": ""ভুলটি শক্তিশালী পক্ষের কাছে নতি স্বীকার করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ভুলটি শক্তিশালী পক্ষের কাছে নতি স্বীকার করা অনুশীলন করে।""}]",give way; surrender; submit,resist; stand firm; hold out,A2,"07 - Problems, Difficulty & Risk","At work, Adam had to yield to.","কর্মক্ষেত্রে, আদমকে চাপ বা শক্তিশালী পক্ষের কাছে নতি স্বীকার করা প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Emma had to yield to before lunch."", ""We decided to yield to during the meeting."", ""They want to yield to this week.""]"
Phrasal Verb,zone in on,/zoʊn ɪn ɑn/,ZOHN een on,জোন ইন অন,To concentrate precisely on a specific thing,নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া,"[{""phrase"": ""zone in on the problem"", ""example_sentence"": ""The manager asked the team to zone in on the problem before the deadline.""}, {""phrase"": ""zone in on the answer"", ""example_sentence"": ""Students learned how to zone in on the answer in a practical exercise.""}, {""phrase"": ""zone in on the idea"", ""example_sentence"": ""We need to zone in on the idea carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া অনুশীলন করে।""}, {""phrase"": ""উত্তরটি নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে উত্তরটি নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া অনুশীলন করে।""}, {""phrase"": ""ধারণাটি নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে ধারণাটি নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া অনুশীলন করে।""}]",focus on; concentrate on; zero in on,lose focus; zoom out; ignore,B1,"02 - Thinking, Learning & Understanding","During the day, Emma had to zone in on.","দিনের মধ্যে, এমাকে নির্দিষ্ট বিষয়ের ওপর গভীরভাবে মনোযোগ দেওয়া প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Noah had to zone in on before lunch."", ""We decided to zone in on during the meeting."", ""They want to zone in on this week.""]"
Phrasal Verb,zoom ahead,/zum əhɛd/,ZOOM uh-HED,জুম আহেড,To advance rapidly,দ্রুত এগিয়ে যাওয়া,"[{""phrase"": ""zoom ahead on time"", ""example_sentence"": ""The team tried to zoom ahead on time so the schedule stayed clear.""}, {""phrase"": ""zoom ahead during the project"", ""example_sentence"": ""Things may zoom ahead during the project when the workload increases.""}, {""phrase"": ""zoom ahead without delay"", ""example_sentence"": ""Everyone was ready to zoom ahead without delay after the announcement.""}]","[{""phrase"": ""সময়মতো দ্রুত এগিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো দ্রুত এগিয়ে যাওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে দ্রুত এগিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে দ্রুত এগিয়ে যাওয়া অনুশীলন করে।""}, {""phrase"": ""দেরি না করে দ্রুত এগিয়ে যাওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে দ্রুত এগিয়ে যাওয়া অনুশীলন করে।""}]",advance rapidly; speed ahead; move fast,fall behind; slow down; lag,A2,"06 - Progress, Success & Results","After school, Noah had to zoom ahead.","স্কুলের পর, নোয়াকে দ্রুত এগিয়ে যাওয়া প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Mia had to zoom ahead before lunch."", ""We decided to zoom ahead during the meeting."", ""They want to zoom ahead this week.""]"
Phrasal Verb,abide by,/əbaɪd baɪ/,uh-BYD by,আবাইড বাই,To comply with a rule or decision,নিয়ম বা সিদ্ধান্ত মেনে চলা,"[{""phrase"": ""abide by the issue"", ""example_sentence"": ""The manager asked the team to abide by the issue before the deadline.""}, {""phrase"": ""abide by the plan"", ""example_sentence"": ""Students learned how to abide by the plan in a practical exercise.""}, {""phrase"": ""abide by the task"", ""example_sentence"": ""We need to abide by the task carefully before we move forward.""}]","[{""phrase"": ""সমস্যাটি নিয়ম বা সিদ্ধান্ত মেনে চলা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সমস্যাটি নিয়ম বা সিদ্ধান্ত মেনে চলা অনুশীলন করে।""}, {""phrase"": ""পরিকল্পনাটি নিয়ম বা সিদ্ধান্ত মেনে চলা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে পরিকল্পনাটি নিয়ম বা সিদ্ধান্ত মেনে চলা অনুশীলন করে।""}, {""phrase"": ""কাজটি নিয়ম বা সিদ্ধান্ত মেনে চলা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি নিয়ম বা সিদ্ধান্ত মেনে চলা অনুশীলন করে।""}]",obey; comply with; follow,break; violate; ignore,A2,"08 - Change, Growth, Rules & Control","At work, Mia had to abide by.","কর্মক্ষেত্রে, মিয়াকে নিয়ম বা সিদ্ধান্ত মেনে চলা প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Daniel had to abide by before lunch."", ""We decided to abide by during the meeting."", ""They want to abide by this week.""]"
Phrasal Verb,act up,/ækt ʌp/,AKT up,অ্যাক্ট আপ,To misbehave; to malfunction,খারাপ আচরণ করা; যন্ত্রের ত্রুটি করা,"[{""phrase"": ""act up on time"", ""example_sentence"": ""The team tried to act up on time so the schedule stayed clear.""}, {""phrase"": ""act up during the project"", ""example_sentence"": ""Things may act up during the project when the workload increases.""}, {""phrase"": ""act up without delay"", ""example_sentence"": ""Everyone was ready to act up without delay after the announcement.""}]","[{""phrase"": ""সময়মতো খারাপ আচরণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়মতো খারাপ আচরণ করা অনুশীলন করে।""}, {""phrase"": ""প্রকল্প চলাকালে খারাপ আচরণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্প চলাকালে খারাপ আচরণ করা অনুশীলন করে।""}, {""phrase"": ""দেরি না করে খারাপ আচরণ করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে দেরি না করে খারাপ আচরণ করা অনুশীলন করে।""}]",misbehave; malfunction; cause trouble,behave; function properly; settle down,A2,"09 - Relationships, Feelings & Daily Life","During the day, Daniel had to act up.","দিনের মধ্যে, ড্যানিয়েলকে খারাপ আচরণ করা বা যন্ত্রের ত্রুটি করা প্রয়োজন হয়েছিল।","realistic daily-life scene matching the sentence, natural lighting, candid photography. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Aisha had to act up before lunch."", ""We decided to act up during the meeting."", ""They want to act up this week.""]"
Phrasal Verb,align with,/əlaɪn wɪð/,uh-LYN with,আলাইন উইথ,To agree with or match something,কোনো কিছুর সঙ্গে একমত বা সামঞ্জস্যপূর্ণ হওয়া,"[{""phrase"": ""align with the task"", ""example_sentence"": ""The manager asked the team to align with the task before the deadline.""}, {""phrase"": ""align with the project"", ""example_sentence"": ""Students learned how to align with the project in a practical exercise.""}, {""phrase"": ""align with the deadline"", ""example_sentence"": ""We need to align with the deadline carefully before we move forward.""}]","[{""phrase"": ""কাজটি সামঞ্জস্যপূর্ণ হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি সামঞ্জস্যপূর্ণ হওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্পটি সামঞ্জস্যপূর্ণ হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্পটি সামঞ্জস্যপূর্ণ হওয়া অনুশীলন করে।""}, {""phrase"": ""সময়সীমাটি সামঞ্জস্যপূর্ণ হওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়সীমাটি সামঞ্জস্যপূর্ণ হওয়া অনুশীলন করে।""}]",match; agree with; correspond to,conflict with; differ from; clash,A2,"09 - Relationships, Feelings & Daily Life","After school, Aisha had to align with.","স্কুলের পর, আইশাকে কোনো কিছুর সঙ্গে একমত বা সামঞ্জস্যপূর্ণ হওয়া প্রয়োজন হয়েছিল।","realistic school scene matching the sentence, clear action and natural colors. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Lucas had to align with before lunch."", ""We decided to align with during the meeting."", ""They want to align with this week.""]"
Phrasal Verb,angle for,/æŋɡəl fɔr/,ANG-gul for,অ্যাংগাল ফর,To try to obtain something indirectly,পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা,"[{""phrase"": ""angle for a plan"", ""example_sentence"": ""The manager asked the team to angle for a plan before the deadline.""}, {""phrase"": ""angle for the decision"", ""example_sentence"": ""Students learned how to angle for the decision in a practical exercise.""}, {""phrase"": ""angle for the strategy"", ""example_sentence"": ""We need to angle for the strategy carefully before we move forward.""}]","[{""phrase"": ""একটি পরিকল্পনা পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে একটি পরিকল্পনা পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা অনুশীলন করে।""}, {""phrase"": ""সিদ্ধান্তটি পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সিদ্ধান্তটি পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা অনুশীলন করে।""}, {""phrase"": ""কৌশলটি পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কৌশলটি পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা অনুশীলন করে।""}]",try to get indirectly; seek; hint for,ask directly; give up; refuse,A2,"03 - Plans, Decisions & Strategy","At work, Lucas had to angle for.","কর্মক্ষেত্রে, লুকাসকে পরোক্ষভাবে কোনো কিছু পাওয়ার চেষ্টা করা প্রয়োজন হয়েছিল।","realistic workplace scene matching the sentence, detailed environment and natural light. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Sofia had to angle for before lunch."", ""We decided to angle for during the meeting."", ""They want to angle for this week.""]"
Phrasal Verb,assign to,/əsaɪn tu/,uh-SIGN too,আসাইন টু,To give a task or role to someone,কাউকে কাজ বা ভূমিকা দেওয়া,"[{""phrase"": ""assign to the task"", ""example_sentence"": ""The manager asked the team to assign to the task before the deadline.""}, {""phrase"": ""assign to the project"", ""example_sentence"": ""Students learned how to assign to the project in a practical exercise.""}, {""phrase"": ""assign to the deadline"", ""example_sentence"": ""We need to assign to the deadline carefully before we move forward.""}]","[{""phrase"": ""কাজটি ভূমিকা দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে কাজটি ভূমিকা দেওয়া অনুশীলন করে।""}, {""phrase"": ""প্রকল্পটি ভূমিকা দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে প্রকল্পটি ভূমিকা দেওয়া অনুশীলন করে।""}, {""phrase"": ""সময়সীমাটি ভূমিকা দেওয়া"", ""example_sentence"": ""শিক্ষার্থীরা উদাহরণে সময়সীমাটি ভূমিকা দেওয়া অনুশীলন করে।""}]",give a task; allocate; appoint,unassign; take away; withhold,A2,"04 - Work, Responsibility & Productivity","During the final week, Sofia had to assign to to finish on time.","শেষ সপ্তাহে, সোফিয়াকে কাউকে কাজ বা ভূমিকা দেওয়া প্রয়োজন হয়েছিল।","focused team working hard in an office at dusk, laptops and notes everywhere. Realistic contemporary setting, natural lighting, clear facial expressions, accurate everyday details, documentary photography style.","[""Ethan was ready to assign to on day one."", ""The volunteers assign to when the event got busy."", ""If everyone assign to, we can finish today.""]"
