word,sentence,sentence bangla,phrase,definition,list,type,ipa,pronunciation,bangla_pronunciation,synonyms,antonyms,bangla_meaning,Collocations,Collocations Bangla
affluence,I am so jealous of their affluent lifestyle.,তাদের বিলাসবহুল জীবনযাপন দেখে আমার ভীষণ ঈর্ষা হয়।,Affluent lifestyle,Having a lot of money or owning a lot of things,3000,noun,ˈæfluəns,AF-loo-uhns,অ্যাফ·লউ·অনস,"wealth, prosperity, abundance, richness, opulence","poverty, penury, destitution",প্রচুর অর্থ বা সম্পদ,"[
{
""phrase"": ""growing affluence"",
""example_sentence"": ""The suburb is known for its growing affluence.""
},
{
""phrase"": ""signs of affluence"",
""example_sentence"": ""The cars outside were clear signs of affluence.""
},
{
""phrase"": ""material affluence"",
""example_sentence"": ""Material affluence does not always bring peace.""
}
]","[
{
""phrase"": ""ক্রমবর্ধমান প্রাচুর্য"",
""example_sentence"": ""শহরতলি তার ক্রমবর্ধমান প্রাচুর্য এর জন্য পরিচিত।""
},
{
""phrase"": ""প্রাচুর্যের লক্ষণ"",
""example_sentence"": ""বাইরের গাড়িগুলো ছিল প্রাচুর্যের লক্ষণ এর স্পষ্ট প্রমাণ।""
},
{
""phrase"": ""বস্তুগত প্রাচুর্য"",
""example_sentence"": ""বস্তুগত প্রাচুর্য সবসময় শান্তি বয়ে আনে না।""
}
]"
affront,Matthew was affronted by his LOSER comment.,ম্যাথিউ তার 'লুজার' মন্তব্যে অপমানিত বোধ করেছিল।,Affronted by comments,To insult or offend someone,3000,noun,əˈfrənt,uhf-RUHNT,অফ·রঅনট,"insult, offense, slight, indignity, snub","compliment, honor, respect",অপমান বা অসম্মান করা,"[
{
""phrase"": ""great affront"",
""example_sentence"": ""The team showed great affront during the crisis.""
},
{
""phrase"": ""show affront"",
""example_sentence"": ""Her daily actions show real affront and care.""
},
{
""phrase"": ""sense of affront"",
""example_sentence"": ""He has a strong sense of affront in difficult moments.""
}
]","[
{
""phrase"": ""দারুণ অপমান"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ অপমান দেখিয়েছিল।""
},
{
""phrase"": ""অপমান দেখানো"",
""example_sentence"": ""তার দৈনন্দিন কাজগুলো বাস্তব অপমান দেখানো এবং যত্ন প্রকাশ করে।""
},
{
""phrase"": ""অপমানের অনুভূতি"",
""example_sentence"": ""কঠিন মুহূর্তে তার মধ্যে অপমানের অনুভূতি প্রবল থাকে।""
}
]"
agape,"The baby watched the toy, mouth agape in shock.",শিশুটা বিস্ময়ে মুখ হা করে খেলনাটার দিকে তাকিয়ে রইল।,Watched with mouths agape,"With the mouth open, showing surprise or shock",3000,noun,əˈgeɪp,uhg-AYP,অগ·এইপ,"astonished, wide open, gaping, astounded, stunned",,অবাক হয়ে মুখ হাঁ করা,"[
{
""phrase"": ""stare agape"",
""example_sentence"": ""The children stared agape at the fireworks.""
},
{
""phrase"": ""mouth agape"",
""example_sentence"": ""He stood with his mouth agape in surprise.""
},
{
""phrase"": ""look agape"",
""example_sentence"": ""They looked agape as the wall collapsed.""
}
]","[
{
""phrase"": ""হাঁ করে তাকিয়ে থাকা"",
""example_sentence"": ""শিশুরা আতশবাজির দিকে হাঁ করে তাকিয়ে থাকা অবস্থায় ছিল।""
},
{
""phrase"": ""হাঁ করা মুখ"",
""example_sentence"": ""আশ্চর্য হয়ে সে হাঁ করা মুখ নিয়ে দাঁড়িয়ে ছিল।""
},
{
""phrase"": ""হাঁ করে তাকানো"",
""example_sentence"": ""দেয়াল ধসে পড়ার সাথে সাথে তারা হাঁ করে তাকানো শুরু করেছিল।""
}
]"
agenda,One topic was removed from meeting agenda.,সভার আলোচ্যসূচি থেকে একটি বিষয় বাদ দেওয়া হয়েছিল।,Agenda of meeting,A list of matters to be discussed at a meeting,3000,noun,əˈʤɛndə,uhj-EHN-duh,অজ·এন·ডঅ,"schedule, plan, program, itinerary, roster",,সভায় আলোচ্য বিষয়ের তালিকা,"[
{
""phrase"": ""set the agenda"",
""example_sentence"": ""The chair set the agenda for the meeting.""
},
{
""phrase"": ""political agenda"",
""example_sentence"": ""Critics accused the group of having a political agenda.""
},
{
""phrase"": ""on the agenda"",
""example_sentence"": ""Cost cuts are on the agenda for Friday.""
}
]","[
{
""phrase"": ""আলোচ্যসূচি নির্ধারণ করা"",
""example_sentence"": ""সভাপতি সভার জন্য আলোচ্যসূচি নির্ধারণ করা সম্পন্ন করেছেন।""
},
{
""phrase"": ""রাজনৈতিক আলোচ্যসূচি"",
""example_sentence"": ""সমালোচকরা দলটির বিরুদ্ধে একটি রাজনৈতিক আলোচ্যসূচি থাকার অভিযোগ এনেছেন।""
},
{
""phrase"": ""আলোচ্যসূচিতে"",
""example_sentence"": ""শুক্রবার খরচ কমানো আলোচ্যসূচিতে রয়েছে।""
}
]"
agglomeration,The research group was an agglomeration of different ethnicities.,গবেষণা দলটি বিভিন্ন জাতিগোষ্ঠীর সংমিশ্রণ ছিল।,Agglomeration of ethnicities,A large group of many different things collected or brought together,3000,noun,əˌglɑmərˈeɪʃən,uhg-lahm-ur-AYSH-uhn,অগ·লআম·আর·এইশ·অন,"cluster, collection, accumulation, mass, heap","dispersion, scattering, separation",বিভিন্ন জিনিসের বড় সমাহার,"[
{
""phrase"": ""cause agglomeration"",
""example_sentence"": ""The sudden change may cause agglomeration in the system.""
},
{
""phrase"": ""prevent agglomeration"",
""example_sentence"": ""The new rule could help prevent agglomeration in the future.""
},
{
""phrase"": ""common agglomeration"",
""example_sentence"": ""The phrase \""common agglomeration\"" appeared in a clear example sentence.""
}
]","[
{
""phrase"": ""স্তূপীকরণ ঘটানো"",
""example_sentence"": ""হঠাৎ পরিবর্তন সিস্টেমে স্তূপীকরণ ঘটানো সম্ভব করতে পারে।""
},
{
""phrase"": ""স্তূপীকরণ রোধ করা"",
""example_sentence"": ""নতুন নিয়ম ভবিষ্যতে স্তূপীকরণ রোধ করা নিশ্চিত করতে সাহায্য করতে পারে।""
},
{
""phrase"": ""সাধারণ স্তূপীকরণ"",
""example_sentence"": ""\""সাধারণ স্তূপীকরণ\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
}
]"
aggrandize,The mirror had special power which aggrandizes one's own reflection.,"আয়নাটির এক বিশেষ ক্ষমতা ছিল, যা নিজের প্রতিবিম্বকে বড় করে দেখাত।",Aggrandize someone,To make someone more powerful or important,800,verb,əˈgrænˌdaɪz,uhg-RAN-diz,অগ·রঅ্যান·ডআইজ,"exaggerate, magnify, enhance, inflate, boost","diminish, belittle, reduce",ক্ষমতাশালী বা গুরুত্বপূর্ণ করা,"[
{
""phrase"": ""aggrandize power"",
""example_sentence"": ""The ruler tried to aggrandize his power.""
},
{
""phrase"": ""aggrandize oneself"",
""example_sentence"": ""He always speaks as if he must aggrandize himself.""
},
{
""phrase"": ""aggrandize the office"",
""example_sentence"": ""They wanted to aggrandize the office of the mayor.""
}
]","[
{
""phrase"": ""ক্ষমতা বৃদ্ধি করা"",
""example_sentence"": ""শাসক তার ক্ষমতা বৃদ্ধি করা নিশ্চিত করার চেষ্টা করেছিল।""
},
{
""phrase"": ""নিজেকে বড় করা"",
""example_sentence"": ""সে সবসময় এমনভাবে কথা বলে যেন তাকে অবশ্যই নিজেকে বড় করা উচিত।""
},
{
""phrase"": ""পদমর্যাদা বৃদ্ধি করা"",
""example_sentence"": ""তারা মেয়রের পদমর্যাদা বৃদ্ধি করা চেয়েছিল।""
}
]"
aggregate,He got passing marks in each subject but the aggregate is less.,সে প্রতিটি বিষয়ে পাস নম্বর পেলেও মোট নম্বর কম।,Aggregate score,A whole formed by several separate elements,333,noun,ˈægrəgət,AG-ruhg-uht,অ্যাগ·রঅগ·অট,"total, sum, collection, combined, whole","disperse, scatter, separate",পৃথক উপাদান নিয়ে গঠিত সমগ্র,"[
{
""phrase"": ""aggregate great wealth"",
""example_sentence"": ""Before the Wall Street scandals, dealers in so-called junk bonds managed to aggregate great wealth in short periods of time.""
},
{
""phrase"": ""carefully aggregate"",
""example_sentence"": ""The team must carefully aggregate the process before moving on.""
},
{
""phrase"": ""fully aggregate"",
""example_sentence"": ""The new policy may fully aggregate the old system.""
}
]","[
{
""phrase"": ""বিপুল সম্পদ পুঞ্জীভূত করা"",
""example_sentence"": ""ওয়াল স্ট্রিট কেলেঙ্কারির আগে, তথাকথিত জাঙ্ক বন্ডের ডিলাররা অল্প সময়ের মধ্যে বিপুল সম্পদ পুঞ্জীভূত করা পরিচালনা করেছিল।""
},
{
""phrase"": ""সতর্কতার সাথে পুঞ্জীভূত করা"",
""example_sentence"": ""এগিয়ে যাওয়ার আগে দলটিকে অবশ্যই সতর্কতার সাথে পুঞ্জীভূত করা প্রক্রিয়াটি সম্পন্ন করতে হবে।""
},
{
""phrase"": ""সম্পূর্ণরূপে পুঞ্জীভূত করা"",
""example_sentence"": ""নতুন নীতি পুরানো ব্যবস্থাকে সম্পূর্ণরূপে পুঞ্জীভূত করা শুরু করতে পারে।""
}
]"
aghast,Batman was left aghast on seeing Bane and Joker together.,বেন ও জোকারকে একসাথে দেখে ব্যাটম্যান হতবাক হয়ে গিয়েছিল।,Left aghast,Suddenly filled with strong feelings of shock and worry,3000,noun,əˈgæst,uhg-AST,অগ·অ্যাসট,"horrified, shocked, appalled, dismayed, astonished","calm, unruffled, composed",হঠাৎ আঘাত বা ভয়ে হতভম্ব,"[
{
""phrase"": ""seem aghast"",
""example_sentence"": ""The plan may seem aghast at first, but it has real value.""
},
{
""phrase"": ""remain aghast"",
""example_sentence"": ""Even after the delay, she remained aghast and calm.""
},
{
""phrase"": ""become aghast"",
""example_sentence"": ""The debate quickly became aghast in tone.""
}
]","[
{
""phrase"": ""আতঙ্কিত মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে আতঙ্কিত মনে হওয়া স্বাভাবিক, তবে এর প্রকৃত মূল্য রয়েছে।""
},
{
""phrase"": ""আতঙ্কিত থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে আতঙ্কিত থাকা এবং শান্ত থাকার চেষ্টা করেছিল।""
},
{
""phrase"": ""আতঙ্কিত হয়ে ওঠা"",
""example_sentence"": ""বিতর্কটি দ্রুত আতঙ্কিত হয়ে ওঠা স্বরে পরিণত হয়েছিল।""
}
]"
agile,The agile dog was moving easily in between the poles.,চটপটে কুকুরটি খুঁটিগুলোর মাঝখানে অনায়াসে চলাচল করছিল।,Agile dog,Able to move about quickly and easily,3000,adjective,ˈæʤəl,AJ-uhl,অ্যাজ·অল,"nimble, lithe, dexterous, quick, supple","clumsy, slow, lethargic",দ্রুত ও সহজে চলতে পারে এমন,"[
{
""phrase"": ""seem agile"",
""example_sentence"": ""The plan may seem agile at first, but it has real value.""
},
{
""phrase"": ""remain agile"",
""example_sentence"": ""Even after the delay, she remained agile and calm.""
},
{
""phrase"": ""become agile"",
""example_sentence"": ""The debate quickly became agile in tone.""
}
]","[
{
""phrase"": ""চটপটে মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে চটপটে মনে হওয়া স্বাভাবিক, তবে এর প্রকৃত মূল্য রয়েছে।""
},
{
""phrase"": ""চটপটে থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে চটপটে থাকা এবং শান্ত থাকার চেষ্টা করেছিল।""
},
{
""phrase"": ""চটপটে হয়ে ওঠা"",
""example_sentence"": ""বিতর্কটি দ্রুত চটপটে হয়ে ওঠা স্বরে পরিণত হয়েছিল।""
}
]"
agitate,His apology was clearly agitating his girlfriend.,"তার ক্ষমা চাওয়াটা যে তার প্রেমিকাকে স্পষ্টতই বিরক্ত করছিল, তা স্পষ্ট ছিল।",Agitated girlfriend,To make someone feel worried or angry,3000,verb,ˈæʤəˌteɪt,AJ-uht-ayt,অ্যাজ·অট·এইট,"disturb, stir, upset, unsettle, provoke","calm, soothe, pacify",উদ্বিগ্ন বা ক্রোধান্বিত করা,"[
{
""phrase"": ""agitate angry mob"",
""example_sentence"": ""Her fiery remarks agitated the already angry mob.""
},
{
""phrase"": ""carefully agitate"",
""example_sentence"": ""The team must carefully agitate the process before moving on.""
},
{
""phrase"": ""fully agitate"",
""example_sentence"": ""The new policy may fully agitate the old system.""
}
]","[
{
""phrase"": ""ক্ষুব্ধ জনতাকে উত্তেজিত করা"",
""example_sentence"": ""তার জ্বালাময়ী মন্তব্যগুলো ইতিমধ্যে ক্ষুব্ধ জনতাকে উত্তেজিত করা নিশ্চিত করেছিল।""
},
{
""phrase"": ""সতর্কতার সাথে উত্তেজিত করা"",
""example_sentence"": ""এগিয়ে যাওয়ার আগে দলটিকে অবশ্যই সতর্কতার সাথে উত্তেজিত করা প্রক্রিয়াটি সম্পন্ন করতে হবে।""
},
{
""phrase"": ""সম্পূর্ণরূপে উত্তেজিত করা"",
""example_sentence"": ""নতুন নীতি পুরানো ব্যবস্থাকে সম্পূর্ণরূপে উত্তেজিত করা শুরু করতে পারে।""
}
]"
agnostic,Agnostic is an atheist who lacks any denying logic.,অজ্ঞেয়বাদী হলেন এমন একজন নাস্তিক যার কোনো খণ্ডনমূলক যুক্তি নেই।,Agnostic logic,Someone who does not know if a god exists,3000,adjective,ægˈnɑstɪk,ag-NAHS-tihk,অ্যাগ·নআস·টইক,"skeptic, doubter, unbeliever, freethinker","believer, theist, faithful",ঈশ্বরের অস্তিত্বে অনিশ্চিত,"[
{
""phrase"": ""agnostic say"",
""example_sentence"": ""Agnostics say we can neither prove nor disprove the existence of God; we simply just can't know.""
},
{
""phrase"": ""highly agnostic"",
""example_sentence"": ""The issue became highly agnostic after the report was released.""
},
{
""phrase"": ""remarkably agnostic"",
""example_sentence"": ""Her response was remarkably agnostic under pressure.""
}
]","[
{
""phrase"": ""অজ্ঞেয়বাদীরা বলে"",
""example_sentence"": ""অজ্ঞেয়বাদীরা বলে আমরা ঈশ্বরের অস্তিত্ব প্রমাণ বা খণ্ডন করতে পারি না; আমরা কেবল জানতে পারি না।""
},
{
""phrase"": ""অত্যন্ত অজ্ঞেয়বাদী"",
""example_sentence"": ""প্রতিবেদন প্রকাশের পর বিষয়টি অত্যন্ত অজ্ঞেয়বাদী হয়ে ওঠে।""
},
{
""phrase"": ""উল্লেখযোগ্যভাবে অজ্ঞেয়বাদী"",
""example_sentence"": ""চাপের মুখে তার প্রতিক্রিয়া উল্লেখযোগ্যভাবে অজ্ঞেয়বাদী ছিল।""
}
]"
agog,He waited agog for news of his promotion.,সে তার পদোন্নতির খবরের জন্য অধীর আগ্রহে অপেক্ষা করছিল।,Waited agog for news,Excited and eager to know or see more,3000,noun,əˈgɑg,uhg-AHG,অগ·আগ,"eager, excited, enthusiastic, impatient, avid","apathetic, indifferent, uninterested",উত্তেজিত ও কৌতূহলী,"[
{
""phrase"": ""agog with excitement"",
""example_sentence"": ""The town was agog with excitement before the match.""
},
{
""phrase"": ""all agog"",
""example_sentence"": ""The children were all agog on the morning of the trip.""
},
{
""phrase"": ""remain agog"",
""example_sentence"": ""Fans remained agog after the surprise announcement.""
}
]","[
{
""phrase"": ""উত্তেজনায় অধীর"",
""example_sentence"": ""ম্যাচের আগে শহরটি উত্তেজনায় অধীর ছিল।""
},
{
""phrase"": ""সবাই অধীর"",
""example_sentence"": ""ভ্রমণের সকালে শিশুরা সবাই অধীর ছিল।""
},
{
""phrase"": ""অধীর থাকা"",
""example_sentence"": ""আকস্মিক ঘোষণার পর ভক্তরা অধীর থাকা অব্যাহত রেখেছিল।""
}
]"
agrarian,A well irrigated agrarian land is worth millions.,ভালোভাবে সেচ দেওয়া এক কৃষি জমির মূল্য লক্ষ লক্ষ টাকা।,Agrarian land,Relating to the land for farming,3000,noun,əˈgrɛriən,uhg-REHR-ee-uhn,অগ·রএর·ই·অন,"agricultural, rural, farming, pastoral","urban, industrial, metropolitan",কৃষিভূমি সংক্রান্ত,"[
{
""phrase"": ""common agrarian"",
""example_sentence"": ""The phrase \""common agrarian\"" appeared in a clear example sentence.""
},
{
""phrase"": ""clear agrarian"",
""example_sentence"": ""The phrase \""clear agrarian\"" appeared in a clear example sentence.""
},
{
""phrase"": ""simple agrarian"",
""example_sentence"": ""The phrase \""simple agrarian\"" appeared in a clear example sentence.""
}
]","[
{
""phrase"": ""সাধারণ কৃষিভিত্তিক"",
""example_sentence"": ""\""সাধারণ কৃষিভিত্তিক\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
},
{
""phrase"": ""স্পষ্ট কৃষিভিত্তিক"",
""example_sentence"": ""\""স্পষ্ট কৃষিভিত্তিক\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
},
{
""phrase"": ""সরল কৃষিভিত্তিক"",
""example_sentence"": ""\""সরল কৃষিভিত্তিক\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
}
]"
airy,His airy guest room shows how rich he is.,তার খোলামেলা অতিথি কক্ষটিই তার ঐশ্বর্যের পরিচয় দেয়।,Airy room,With a lot of light and space,3000,noun,ˈɛri,EHR-ee,এর·ই,"light, breezy, delicate, ethereal, open","stuffy, dense, heavy",আলোকিত ও প্রশস্ত,"[
{
""phrase"": ""seem airy"",
""example_sentence"": ""The plan may seem airy at first, but it has real value.""
},
{
""phrase"": ""remain airy"",
""example_sentence"": ""Even after the delay, she remained airy and calm.""
},
{
""phrase"": ""become airy"",
""example_sentence"": ""The debate quickly became airy in tone.""
}
]","[
{
""phrase"": ""বাতাসপূর্ণ মনে হওয়া"",
""example_sentence"": ""পরিকল্পনাটি প্রথমে বাতাসপূর্ণ মনে হওয়া স্বাভাবিক, তবে এর প্রকৃত মূল্য রয়েছে।""
},
{
""phrase"": ""বাতাসপূর্ণ থাকা"",
""example_sentence"": ""দেরি হওয়ার পরেও, সে বাতাসপূর্ণ থাকা এবং শান্ত থাকার চেষ্টা করেছিল।""
},
{
""phrase"": ""বাতাসপূর্ণ হয়ে ওঠা"",
""example_sentence"": ""বিতর্কটি দ্রুত বাতাসপূর্ণ হয়ে ওঠা স্বরে পরিণত হয়েছিল।""
}
]"
alacrity,"If you give a dog a bone, it will accept it with alacrity.","আপনি যদি একটি কুকুরকে হাড় দেন, সে সানন্দে তা গ্রহণ করবে।",Accepted with alacrity,Speed and eagerness,333,noun,əˈlækrəti,uhl-AK-ruht-ee,অল·অ্যাক·রঅট·ই,"eagerness, enthusiasm, willingness, promptness, zeal","reluctance, laziness, lethargy",উৎসাহ ও দ্রুততা,"[
{
""phrase"": ""alacrity eager"",
""example_sentence"": ""The students went through their exercises with alacrity, eager to finish before the lunch break.""
},
{
""phrase"": ""unexpected alacrity"",
""example_sentence"": ""She responded with unexpected alacrity to the request for help, arriving at the scene in just a few minutes.""
},
{
""phrase"": ""great alacrity"",
""example_sentence"": ""The team showed great alacrity during the crisis.""
}
]","[
{
""phrase"": ""তৎপরতার সাথে আগ্রহী"",
""example_sentence"": ""শিক্ষার্থীরা দুপুরের বিরতির আগে শেষ করার জন্য তৎপরতার সাথে আগ্রহী হয়ে তাদের অনুশীলনগুলো সম্পন্ন করেছিল।""
},
{
""phrase"": ""অপ্রত্যাশিত তৎপরতা"",
""example_sentence"": ""সাহায্যের অনুরোধে সে অপ্রত্যাশিত তৎপরতা এর সাথে সাড়া দিয়েছিল, মাত্র কয়েক মিনিটের মধ্যে ঘটনাস্থলে পৌঁছেছিল।""
},
{
""phrase"": ""দারুণ তৎপরতা"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ তৎপরতা দেখিয়েছিল।""
}
]"
alchemy,"Although he is a scientist, he still believes in alchemy.","যদিও তিনি একজন বিজ্ঞানী, তবুও তিনি রসায়নে বিশ্বাস করেন।",Powerful alchemy,A middle age chemistry which changes metal in gold and cures all diseases,800,noun,ˈælkəmi,AL-kuhm-ee,অ্যাল·কঅম·ই,"transformation, transmutation, magic, sorcery",,মধ্যযুগীয় রাসায়নিক বিদ্যা,"[
{
""phrase"": ""common alchemy"",
""example_sentence"": ""The phrase \""common alchemy\"" appeared in a clear example sentence.""
},
{
""phrase"": ""clear alchemy"",
""example_sentence"": ""The phrase \""clear alchemy\"" appeared in a clear example sentence.""
},
{
""phrase"": ""simple alchemy"",
""example_sentence"": ""The phrase \""simple alchemy\"" appeared in a clear example sentence.""
}
]","[
{
""phrase"": ""সাধারণ কিমিয়া"",
""example_sentence"": ""\""সাধারণ কিমিয়া\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
},
{
""phrase"": ""স্পষ্ট কিমিয়া"",
""example_sentence"": ""\""স্পষ্ট কিমিয়া\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
},
{
""phrase"": ""সরল কিমিয়া"",
""example_sentence"": ""\""সরল কিমিয়া\"" বাক্যাংশটি একটি স্পষ্ট উদাহরণ বাক্যে উপস্থিত হয়েছিল।""
}
]"
alcove,The little princess bed was put in the alcove.,ছোট্ট রাজকন্যার বিছানাটি কুলুঙ্গিতে রাখা হয়েছিল।,Princess alcove,"Small space in a room, formed by one part of a wall pushed back",3000,noun,ˈælˌkoʊv,AL-kohv,অ্যাল·কওভ,"niche, recess, bay, nook, cubicle",,দেয়ালের মধ্যে ছোট কুলুঙ্গি,"[
{
""phrase"": ""small alcove"",
""example_sentence"": ""They found a small alcove near the back of the building.""
},
{
""phrase"": ""old alcove"",
""example_sentence"": ""An old alcove stood beside the road for years.""
},
{
""phrase"": ""hidden alcove"",
""example_sentence"": ""We discovered a hidden alcove behind the wall.""
}
]","[
{
""phrase"": ""ছোট কুলুঙ্গি"",
""example_sentence"": ""তারা ভবনের পিছনের দিকে একটি ছোট কুলুঙ্গি খুঁজে পেয়েছিল।""
},
{
""phrase"": ""পুরানো কুলুঙ্গি"",
""example_sentence"": ""রাস্তার পাশে একটি পুরানো কুলুঙ্গি বছরের পর বছর ধরে দাঁড়িয়ে ছিল।""
},
{
""phrase"": ""লুকানো কুলুঙ্গি"",
""example_sentence"": ""আমরা দেয়ালের পিছনে একটি লুকানো কুলুঙ্গি আবিষ্কার করেছি।""
}
]"
alias,007 became the alias for James Bond.,007 জেমস বন্ডের ছদ্মনাম হয়ে ওঠে।,"James bond, Alias 007",Used to indicate that a person is also known by another name,3000,noun,ˈeɪliəs,AYL-ee-uhs,এইল·ই·অস,"pseudonym, assumed name, pen name, nickname, nom de plume",,অন্য নামে পরিচিত,"[
{
""phrase"": ""speak alias"",
""example_sentence"": ""She chose to speak alias during the interview.""
},
{
""phrase"": ""move alias"",
""example_sentence"": ""The crowd began to move alias through the hall.""
},
{
""phrase"": ""work alias"",
""example_sentence"": ""They worked alias to finish before sunset.""
}
]","[
{
""phrase"": ""ছদ্মনামে কথা বলা"",
""example_sentence"": ""সে সাক্ষাৎকারের সময় ছদ্মনামে কথা বলা বেছে নিয়েছিল।""
},
{
""phrase"": ""ছদ্মনামে চলা"",
""example_sentence"": ""ভিড় হলের মধ্য দিয়ে ছদ্মনামে চলা শুরু করেছিল।""
},
{
""phrase"": ""ছদ্মনামে কাজ করা"",
""example_sentence"": ""তারা সূর্যাস্তের আগে শেষ করার জন্য ছদ্মনামে কাজ করা সম্পন্ন করেছিল।""
}
]"
alienate,The group of teenagers alienated the new neighbour.,কিশোর-কিশোরীদের দলটি নতুন প্রতিবেশীকে পর করে দিয়েছিল।,Alienated teenager,To make someone feel they are different and not part of the group,3000,noun,ˈeɪljəˌneɪt,AYL-yuhn-ayt,এইল·য়অন·এইট,"estrange, isolate, distance, separate, antagonize","attract, unite, reconcile",দল বা গোষ্ঠী থেকে আলাদা করা,"[
{
""phrase"": ""alienate oldest employees"",
""example_sentence"": ""The new rules have alienated many of the company's oldest employees.""
},
{
""phrase"": ""alienate friends colleagues"",
""example_sentence"": ""His arrogant behavior has served only to alienate his friends and colleagues.""
},
{
""phrase"": ""alienate voters"",
""example_sentence"": ""The government's decision to raise taxes has alienated many of its voters.""
}
]","[
{
""phrase"": ""পুরানো কর্মচারীদের দূরে সরিয়ে দেওয়া"",
""example_sentence"": ""নতুন নিয়মগুলো কোম্পানির অনেক পুরানো কর্মচারীদের দূরে সরিয়ে দেওয়া নিশ্চিত করেছে।""
},
{
""phrase"": ""বন্ধু এবং সহকর্মীদের দূরে সরিয়ে দেওয়া"",
""example_sentence"": ""তার অহংকারী আচরণ কেবল তার বন্ধু এবং সহকর্মীদের দূরে সরিয়ে দেওয়া এর কাজ করেছে।""
},
{
""phrase"": ""ভোটারদের দূরে সরিয়ে দেওয়া"",
""example_sentence"": ""কর বাড়ানোর সরকারের সিদ্ধান্ত এর অনেক ভোটারদের দূরে সরিয়ে দেওয়া নিশ্চিত করেছে।""
}
]"
alimentary,Human alimentary canal is 30 ft long.,মানুষের পরিপাকনালী ৩০ ফুট লম্বা।,Alimentary canal,The parts of the body that food goes through as it is eaten,3000,noun,ˌæləˈmɛntəri,al-uhm-EHN-tur-ee,অ্যাল·অম·এন·টআর·ই,"nutritional, digestive, nourishing, dietary",,খাদ্য পরিপাকের অঙ্গসংক্রান্ত,"[
{
""phrase"": ""alimentary canal"",
""example_sentence"": ""The alimentary canal in our bodies is so named because digestion of foods occurs there. When asked for the name of digestive tract, Sherlock Holmes replied, \""Alimentary, my dear Watson.""
},
{
""phrase"": ""directly alimentary"",
""example_sentence"": ""The small shop is directly alimentary to the station.""
},
{
""phrase"": ""immediately alimentary"",
""example_sentence"": ""The garden is immediately alimentary to the house.""
}
]","[
{
""phrase"": ""পরিপাক নালী"",
""example_sentence"": ""আমাদের শরীরে পরিপাক নালী এর নামকরণ করা হয়েছে কারণ সেখানে খাবারের হজম হয়। পাচনতন্ত্রের নাম জানতে চাইলে শার্লক হোমস উত্তর দিয়েছিলেন, \""পরিপাক, আমার প্রিয় ওয়াটসন।\""""
},
{
""phrase"": ""সরাসরি পুষ্টিকর"",
""example_sentence"": ""ছোট দোকানটি স্টেশনের জন্য সরাসরি পুষ্টিকর।""
},
{
""phrase"": ""অবিলম্বে পুষ্টিকর"",
""example_sentence"": ""বাগানটি বাড়ির জন্য অবিলম্বে পুষ্টিকর।""
}
]"
alimony,Court asked the husband to give the house to his wife as alimony.,আদালত স্বামীকে ভরণপোষণ হিসেবে বাড়িটি তার স্ত্রীকে দিয়ে দিতে নির্দেশ দিয়েছেন।,Pay her alimony,Amount that a person pays to his or her partner after divorce,3000,noun,ˈæləˌmoʊni,AL-uhm-ohn-ee,অ্যাল·অম·ওন·ই,"maintenance, support, allowance, financial support",,বিচ্ছেদের পর ভরণপোষণ,"[
{
""phrase"": ""great alimony"",
""example_sentence"": ""The team showed great alimony during the crisis.""
},
{
""phrase"": ""show alimony"",
""example_sentence"": ""Her daily actions show real alimony and care.""
},
{
""phrase"": ""sense of alimony"",
""example_sentence"": ""He has a strong sense of alimony in difficult moments.""
}
]","[
{
""phrase"": ""দারুণ খোরপোষ"",
""example_sentence"": ""সংকটের সময় দলটি দারুণ খোরপোষ দেখিয়েছিল।""
},
{
""phrase"": ""খোরপোষ দেখানো"",
""example_sentence"": ""তার দৈনন্দিন কাজগুলো বাস্তব খোরপোষ দেখানো এবং যত্ন প্রকাশ করে।""
},
{
""phrase"": ""খোরপোষের অনুভূতি"",
""example_sentence"": ""কঠিন মুহূর্তে তার মধ্যে খোরপোষের অনুভূতি প্রবল থাকে।""
}
]"
