Word/Phrase,Type,Category ,Sub-Category ,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,Synonym,Antonym
on,"(prep.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ɒn/ অন/ on,Touching and supported by a surface; happening,উপরে / চলছে,The book is on the table.,"A book placed neatly on a wooden table in a bright room, clean minimalist photo","turn on, on time, on purpose, hold on","above, upon, connected, continuing","off, below"
"opposite ,","(adj.), (adv.), (n.), (prep.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɒpəzɪt/ অপজিট/ op-uh-zit,Completely different; on the other side,বিপরীত / উল্টো,The pharmacy is opposite the post office.,"A map view showing two buildings directly across from each other on a street, illustrated style","opposite direction, exact opposite, sit opposite, opposite of","contrary, reverse, across from, facing","same, similar"
over,"(adv.), (prep.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˈəʊvə(r)/ ওভার/ oh-vur,Above or across; finished,উপরে / পার হয়ে / শেষ,The plane flew over the mountains.,"An airplane flying above snow-capped mountains, aerial view, dramatic sky","game over, over and over, over the top, all over","above, across, more than, finished","under, below"
place,"(n.), (v.)",The visual world — colour form & physical reality,"Direction, movement & navigation",pleɪs/ প্লেস/ plays,A particular location; to put something somewhere,স্থান / রাখা,She placed the flowers in a vase.,"A woman arranging fresh flowers in a glass vase on a dining table, bright home","take place, place an order, in place, market place","location, site, position, put","remove, take"
rear,"(n.), (adj.)",The visual world — colour form & physical reality,"Direction, movement & navigation",rɪə(r)/ রিয়ার/ reer,The back part; at the back,পিছন দিক / পেছনের,The rear window of the car was broken.,"Close-up of a cracked rear window of a car, parking lot background, realistic photo","rear end, bring up the rear, rear view, rear entrance","back, behind, tail end","front, front-facing"
right,"(adj.), (adv.), (n.)",The visual world — colour form & physical reality,"Direction, movement & navigation",raɪt/ রাইট/ ryt,Correct; the direction opposite of left; a moral entitlement,সঠিক / ডান / অধিকার,Turn right at the traffic lights.,"A person standing at a crossroads looking at a traffic light, turning right, city street","human rights, right away, all right, right hand","correct, proper, directly","wrong, left"
sideways,"(adj.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˈsaɪdweɪz/ সাইডওয়েজ/ syd-wayz,To or from one side,পাশে / বাঁকা,He glanced sideways at the stranger.,"A person turning their head sideways with a curious look on a busy street, candid style","look sideways, move sideways, step sideways, sideways glance","to the side, laterally, obliquely","forwards, backwards"
straight,"(adv.), (adj.)",The visual world — colour form & physical reality,"Direction, movement & navigation",streɪt/ স্ট্রেট/ strayt,Without bending; directly; honest,সরাসরি / সোজা,Go straight down this road for two miles.,"A long straight road disappearing into the horizon under a clear blue sky, scenic photo","straight ahead, straight away, keep straight, think straight","directly, without turning, upright, even","crooked, curved"
through,"(prep.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",θruː/ থ্রু/ throo,In one side and out the other; by means of; finished,দিয়ে / মাধ্যমে,She walked through the park on her way home.,"A woman walking along a tree-lined path in a park, dappled sunlight, peaceful mood","go through, break through, carry through, see through","across, via, by means of, because of",around
top,"(n.), (adj.)",The visual world — colour form & physical reality,"Direction, movement & navigation",tɒp/ টপ/ top,The highest point or position; best,শীর্ষ / সর্বোচ্চ,She graduated at the top of her class.,"A student receiving an award on a stage, proud expression, auditorium in background","top of the class, on top, over the top, top priority","peak, summit, best, highest","bottom, lowest"
trace,"(v.), (n.)",The visual world — colour form & physical reality,"Direction, movement & navigation",treɪs/ ট্রেস/ trays,To find or follow a path; a mark left by something,খুঁজে বের করা / চিহ্ন,The detective traced the call to a nearby location.,"A detective on a computer screen tracing a phone call location with a map, dramatic dark setting","trace back, without a trace, trace element, leave a trace","track, follow, find, mark",
under,"(prep.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌndə(r)/ আন্ডার/ un-dur,Beneath; less than,নিচে / কম,The cat hid under the bed.,"A cat peeking out from under a low bed, curious expression, cozy room","under pressure, under control, come under, fall under","beneath, below, less than, subject to","over, above"
underneath,"(prep.), (adv.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˌʌndəˈniːθ/ আন্ডার্নিথ/ un-dur-neeth,Below or beneath something,নিচে / তলায়,There was a letter underneath the door.,"A white envelope visible just under a closed wooden door, close-up, morning light","hide underneath, just underneath, look underneath, underneath the surface","below, beneath, under","above, on top"
up,"(adv.), (prep.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ʌp/ আপ/ up,To or in a higher position,উপরে / উপরদিকে,She ran up the stairs to catch her flight.,"A woman rushing up a flight of stairs in an airport, luggage in hand, urgent scene","up and down, up to date, give up, stand up","higher, above, risen, increase","down, below"
upstairs,"(adv.), (adj.), (n.)",The visual world — colour form & physical reality,"Direction, movement & navigation",ˌʌpˈsteəz/ আপস্টেয়ার্স/ up-stairz,On or to a higher floor of a building,উপরের তলায়,The children are playing upstairs.,"Children running and playing in an upstairs hallway of a house, wooden floors, cheerful","go upstairs, upstairs room, live upstairs, the upstairs","above, upper floor, overhead","downstairs, below"
outer,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈaʊtə/ আউটার/ ou-ter,Outside; external.,বহির্ভাগের,The outer layer of the cake is chocolate.,"A sliced cake showing a thick, dark chocolate coating on the outside.","outer space, outer layer","external, outside, exterior, peripheral","inner, central"
backward,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈbækwəd/ ব্যাকওয়ার্ড/ bak-werd,Directed behind or to the rear,পশ্চাৎগামী,He took a backward step.,A person looking over their shoulder while walking away,"backward glance, step backward, backward country","behind, slow, reverse, underdeveloped","forward, advanced"
entrance,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɛntrəns/ এন্ট্রান্স/ en-truhns,"An opening, such as a door, passage, or gate, that allows access to a place",প্রবেশদ্বার,The main entrance is at the front of the building.,"A grand, heavy wooden door with intricate carvings","main entrance, grand entrance","entry, door, way in, opening","exit, way out"
entry,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɛntri/ এন্ট্রি/ en-tree,The act of entering or a way in,প্রবেশ / অন্তর্ভুক্তি,Entry to the museum is free.,A bright turnstile gate with a green arrow pointing in,"free entry, data entry","entrance, access, admission, doorway","exit, departure"
forward,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈfɔːwəd/ ফরওয়ার্ড/ fawr-werd,Directed or facing towards the front or the direction that one is facing or traveling,সামনের দিকে,She took a forward step.,A bright glowing arrow pointing straight ahead,"forward movement, step forward","ahead, front, confident, bold","backward, shy"
forward (also forwards),(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈfɔːwəd/ ফরওয়ার্ড/ fawr-werd,Towards the front; in the direction that one is facing or traveling,সম্মুখে,He leaned forward to hear better.,A person leaning intently towards a speaker,"look forward to, move forward","ahead, onward, towards front","backward, behind"
onto,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈɪntuː/ ইনটু/ in-too,Moving to a location on the surface of.,উপর দিকে,The cat jumped onto the table.,"A cat mid-air, leaping gracefully upwards onto the surface of a dining table.","step onto, hold onto","on to, upon, on the surface of","off, away from"
presence,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈprɛzns/ প্রেজেন্স/ prez-uhns,"The state or fact of existing, occurring, or being present in a place or thing.",উপস্থিতি,His presence in the room made everyone nervous.,"A powerful, glowing aura surrounding a confident person standing in a room.","in the presence of, physical presence","being there, existence, attendance, company",absence
upper,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpə/ আপার/ uhp-er,Situated above another part,উপরের,The upper floor of the house is empty.,The top level of a tall building highlighted in bright yellow,"upper floor, upper class","higher, top, above, superior","lower, below"
upside down,(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpsaɪd daʊn/ আপসাইড ডাউন/ uhp-sahyd down,With the upper part where the lower part should be; in or into an inverted position,উল্টানো,He hung the picture upside down.,A painting hanging on a wall completely inverted,"turn upside down, hang upside down","inverted, topsy-turvy, reversed",right-side up
upward,(adj.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpwəd/ আপওয়ার্ড/ uhp-werd,"Moving, pointing, or leading to a higher place, point, or level",ঊর্ধ্বমুখী,There is an upward trend in sales.,"A graph line showing a sharp, continuous upward climb","upward movement, upward trend","ascending, going up, increasing, rising","downward, declining"
upwards,(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ˈʌpwədz/ আপওয়ার্ডস/ uhp-werdz,"Towards a higher place, point, or level",উপরের দিকে,He looked upwards at the stars.,A person gazing high into the night sky,"point upwards, move upwards","up, above, higher, increasing",downwards
there,(adv.),The visual world — colour form & physical reality,"Direction, movement & navigation",ðɛə/ দেয়ার/ thair,"In, at, or to that place or position",সেখানে,Please put the box over there.,A person carrying a box and pointing to an empty corner,"over there, right there","in that place, at that point, over there",here
upon,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",əˈpɒn/ আপন/ uh-pon,"More formal term for on, especially in abstract senses",উপরে,It depends upon the weather.,A majestic crown resting carefully upon a velvet pillow,"based upon, depend upon","on, on top of, against, at the time of","off, below"
give sth away,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",ɡɪv əˈweɪ/ গিভ অ্যাওয়ে/ giv uh-wey,Give something to someone for free,বিলি করা / দান করা,They are giving away free samples at the store.,A person handing out colorful balloons to children in a crowd,"give away money, give away a secret","donate, hand over, reveal, disclose","keep, conceal"
go down,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",ɡoʊ daʊn/ গো ডাউন/ goh down,Descend or fall,নিচে নামা,The sun is going down.,A glowing orange sun setting below the ocean horizon,"prices go down, go down the stairs","decrease, descend, fall, sink","rise, go up"
look forward to,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",lʊk ˈfɔːwəd tuː/ লুক ফরোয়ার্ড টু/ lʊk fawr-werd too,Await eagerly.,অধীর আগ্রহে অপেক্ষা করা,I look forward to meeting you.,A smiling person looking excitedly at a calendar with a circled date.,"really look forward to, look forward to seeing","anticipate, eagerly await, be excited about","dread, fear"
next to,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",nɛkst tuː/ নেক্সট টু/ nekst too,Beside.,পাশে,She sat next to me on the bus.,Two empty bus seats right beside each other.,"right next to, stand next to","beside, adjacent to, alongside","away from, opposite"
position,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",pəˈzɪʃn/ পজিশন/ puh-zish-uhn,A place where someone or something is located or has been put.,অবস্থান,He holds a high position in the company.,A glowing red map marker showing a precise location on a detailed street map.,"in position, high position","place, location, role, stance",
side,(n.),The visual world — colour form & physical reality,"Direction, movement & navigation",saɪd/ সাইড/ syd,"A position to the left or right of an object, place, or central point.",পাশ / দিক,He stood on the right side of the road.,A cube with one of its flat sides glowing in blue light.,"left side, side by side","edge, aspect, team, flank",
surround,(v.),The visual world — colour form & physical reality,"Direction, movement & navigation",səˈraʊnd/ সারাউন্ড/ suh-rownd,Be all around (someone or something),ঘিরে রাখা,Tall trees surround the house.,A cozy cabin completely encircled by tall pine trees,"surround oneself, perfectly surround","encircle, enclose, encompass, ring","expose, open"
sit down,(phr. v.),The visual world — colour form & physical reality,"Direction, movement & navigation",sɪt daʊn/ সিট ডাউন/ sit down,To move from a standing position to a sitting position.,বসে পড়া,Everyone please sit down.,An arrow indicating a downward motion onto a chair.,"sit down and relax, ask to sit down","be seated, take a seat, rest",stand up
towards,(prep.),The visual world — colour form & physical reality,"Direction, movement & navigation",təˈwɔːdz/ টুয়ার্ডস/ tuh-wawrdz,In the direction of,দিকে,She walked towards the door.,A glowing green arrow pointing straight ahead down a hallway,"run towards, lean towards","in the direction of, near, approaching",away from
mind,"(n.), (v.)","Language of thought, action & change","Judgment, memory & opinion",maɪnd/ মাইন্ড/ mynd,The thinking faculty; to object to; to take care of,মন / আপত্তি করা,Do you mind if I open the window?,A person politely gesturing to a window asking permission from another person in a room,"open mind, never mind, mind your own business, bear in mind","brain, intellect, think, care about","body, ignore"
regard,"(v.), (n.)","Language of thought, action & change","Judgment, memory & opinion",rɪˈɡɑːd/ রিগার্ড/ ri-gard,To consider in a certain way; a feeling of respect,বিবেচনা করা / শ্রদ্ধা,She is widely regarded as an expert in her field.,"A presenter being introduced on a stage with applause, professional conference setting","in this regard, with regard to, high regard, regard as","respect, view, consider, esteem","disregard, ignore"
though,"(conj.), (adv.)","Language of thought, action & change","Judgment, memory & opinion",ðəʊ/ দো/ thoh,Despite the fact that; however,যদিও / তথাপি,Though it was raining,they went for a walk.,"Two people walking in the rain with colorful umbrellas, cheerful mood despite the weather","although, however, even so, despite",
argue,(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈɑːɡjuː/ আর্গিউ/ ahr-gyoo,"Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others",যুক্তি দেওয়া / তর্ক করা,They frequently argue about money.,Two silhouetted figures with crossed arms facing each other intensely,"argue about, argue with, passionately argue","debate, dispute, quarrel, contend","agree, concede"
mental,(adj.),"Language of thought, action & change","Judgment, memory & opinion",ˈmɛntl/ মেন্টাল/ men-tl,Relating to the mind.,মানসিক,Playing chess is good for your mental health.,A peaceful human silhouette with calming blue abstract waves flowing through the head area.,"mental health, mental illness","psychological, intellectual, cognitive","physical, bodily"
mystery,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈmɪstəri/ মিস্ট্রি/ mis-tuh-ree,Something that is difficult or impossible to understand or explain.,রহস্য,The missing keys remain a mystery.,"A glowing, floating question mark inside a dark, ancient, stone room.","unsolved mystery, murder mystery","puzzle, enigma, riddle, secret","certainty, explanation"
recognize (BrE also -ise),(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈrekəɡnaɪz/ রিকগনাইজ/ rek-uhg-nize,Identify (someone or something) from having encountered them before; know again.,চিনতে পারা / স্বীকৃতি দেওয়া,I didn't recognize you with your new haircut.,"A person looking pleasantly surprised, pointing at a friend they just recognized.","instantly recognize, clearly recognize","identify, know, acknowledge, spot","ignore, overlook"
reckon,(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈrekən/ রেকন/ rek-uhn,Consider or believe; calculate.,মনে করা / হিসাব করা,I reckon it will rain today.,"A person looking at the sky, thoughtfully predicting the weather.","reckon with, reckon that","think, believe, consider, calculate",
realize (BrE also -ise),(v.),"Language of thought, action & change","Judgment, memory & opinion",ˈriːəlaɪz/ রিয়ালাইজ/ ree-uh-lahyz,Become fully aware of (something) as a fact; understand clearly.,উপলব্ধি করা,I didn't realize how late it was.,A person looking at a clock with wide eyes in sudden realization.,"suddenly realize, fail to realize","understand, grasp, achieve, become aware","miss, fail"
reason,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈriːzn/ রিজন/ ree-zuhn,"A cause, explanation, or justification for an action or event.",কারণ,Give me one good reason to stay.,A thought bubble filled with a bright glowing question mark.,"main reason, for this reason","cause, motive, purpose, explanation","effect, result"
reasonably,(adv.),"Language of thought, action & change","Judgment, memory & opinion",ˈriːznəbli/ রিজনেবলি/ ree-zuhn-uh-blee,In a fair and sensible way.,যুক্তিযুক্তভাবে,The car is reasonably priced.,A price tag on a nice car showing an affordable number.,"reasonably priced, reasonably well","fairly, quite, sensibly, justifiably","unreasonably, unfairly"
sensible,(adj.),"Language of thought, action & change","Judgment, memory & opinion",ˈsensəbl/ সেনসিবল/ sen-suh-buhl,Chosen in accordance with wisdom or prudence; likely to be of benefit.,বিচক্ষণ / যুক্তিযুক্ত,Wearing a warm coat is a sensible idea.,A person dressed appropriately in warm winter clothes in a snowy landscape.,"sensible choice, highly sensible","reasonable, wise, practical, logical","foolish, senseless"
theory,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈθɪəri/ থিওরি/ thee-uh-ree,"A supposition or a system of ideas intended to explain something, especially one based on general principles independent of the thing to be explained",তত্ত্ব,Einstein proposed the theory of relativity.,A chalk board filled with complex physics equations like E=mc^2,"in theory, scientific theory","hypothesis, concept, explanation, model","fact, practice"
thinking,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˈθɪŋkɪŋ/ থিংকিং/ thing-king,The process of using one's mind to consider or reason about something,চিন্তাভাবনা,He did some deep thinking before answering.,A glowing brain with interlocking turning gears inside,"logical thinking, wishful thinking","thought, reasoning, opinion, judgement",
recognition,(n.),"Language of thought, action & change","Judgment, memory & opinion",ˌrekəɡˈnɪʃn/ রিকগনিশন/ rek-uhg-nish-uhn,Identification of someone or something or person from previous encounters or knowledge.,স্বীকৃতি / চেনা,He changed so much he was beyond recognition.,A face-scanning computer graphic analyzing the features of a person.,"international recognition, gain recognition","acknowledgement, identification, appreciation","ignorance, denial"
mad,(adj.),"Language of thought, action & change","Judgment, memory & opinion",mæd/ ম্যাড/ mad,Very angry; mentally ill.,পাগল / রাগান্বিত,Are you still mad at me?,"A cartoon face with red skin, furrowed brows, and steam coming out of its ears.","get mad, drive someone mad","crazy, insane, furious, angry","sane, calm"
mysterious,(adj.),"Language of thought, action & change","Judgment, memory & opinion",mɪsˈtɪəriəs/ মিস্টেরিয়াস/ mi-steer-ee-uhs,"Difficult or impossible to understand, explain, or identify.",রহস্যময়,A mysterious stranger arrived in town.,A shadowy figure in a long coat and fedora hat standing under a dim streetlamp in fog.,"mysterious circumstances, mysterious disappearance","puzzling, strange, unknown, inexplicable","clear, obvious"
particular,(adj.),"Language of thought, action & change","Judgment, memory & opinion",pəˈtɪkjʊlə/ পার্টিকুলার/ per-tik-yuh-ler,Used to single out an individual member of a specified group or class.,বিশেষ / নির্দিষ্ট,I'm looking for a particular book.,A magnifying glass focusing directly on one specific red book in a shelf of grey books.,"in particular, particular attention","specific, distinct, special, precise","general, broad"
predict,(v.),"Language of thought, action & change","Judgment, memory & opinion",prɪˈdɪkt/ প্রেডিক্ট/ pri-dikt,Say or estimate that (a specified thing) will happen in the future or will be a consequence of something.,ভবিষ্যদ্বাণী করা,It is difficult to predict the weather.,A glowing crystal ball showing swirling storm clouds predicting the weather.,"predict the future, difficult to predict","forecast, foresee, anticipate, expect",
pretend,(v.),"Language of thought, action & change","Judgment, memory & opinion",prɪˈtɛnd/ প্রিটেন্ড/ pri-tend,Speak and act so as to make it appear that something is the case when in fact it is not.,ভান করা,He tried to pretend that everything was fine.,A person wearing a smiling theatrical mask while holding a sad face behind it.,"pretend to be, don't pretend","fake, act, claim, make believe","be truthful, reveal"
reflect,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈflekt/ রিফ্লেক্ট/ rih-flekt,"Throw back (heat, light, or sound) without absorbing it.",প্রতিফলিত করা,The water reflected the sunlight.,A calm lake perfectly reflecting the bright setting sun and clouds.,"reflect on, clearly reflect","consider, ponder, mirror, think about","ignore, act without thinking"
recall,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈkɔːl/ রিকল/ ri-kawl,"Bring (a fact, event, or situation) back into one's mind; remember.",স্মরণ করা,I cannot recall his name.,A person tapping their chin while looking up at a blurry thought bubble.,"vividly recall, recall seeing","remember, recollect, bring back, remind",forget
remind,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈmaɪnd/ রিমাইন্ড/ rih-mind,Cause (someone) to remember someone or something.,মনে করিয়ে দেওয়া,Please remind me to call him.,A red string tied neatly around an index finger to act as a memory aid.,"remind someone of, gently remind","prompt, refresh memory, bring to mind",
remember,(v.),"Language of thought, action & change","Judgment, memory & opinion",rɪˈmembə(r)/ রিমেম্বার/ rih-mem-ber,Have in or be able to bring to one's mind an awareness of (someone or something from the past).,মনে রাখা / স্মরণ করা,Do you remember me?,A lightbulb switching on inside a glowing brain outline.,"clearly remember, fail to remember","recall, recollect, retain, not forget",forget
realistic,(adj.),"Language of thought, action & change","Judgment, memory & opinion",rɪəˈlɪstɪk/ রিয়ালিস্টিক/ ree-uh-lis-tik,Having or showing a sensible and practical idea of what can be achieved or expected.,বাস্তবসম্মত,We need to set realistic goals.,"A person writing down achievable, concrete steps on a large goal-setting board.","realistic goal, highly realistic","practical, sensible, achievable, down-to-earth","unrealistic, idealistic"
suggest,(v.),"Language of thought, action & change","Judgment, memory & opinion",səˈdʒɛst/ সাজেস্ট/ suh-jest,Put forward for consideration,পরামর্শ দেওয়া,I suggest we go to the park.,A person with a glowing lightbulb over their head speaking,"strongly suggest, suggest an idea","propose, recommend, advise, hint","reject, dismiss"
suggestion,(n.),"Language of thought, action & change","Judgment, memory & opinion",səˈdʒɛstʃən/ সাজেশন/ suh-jes-chuhn,An idea or plan put forward for consideration,পরামর্শ,That is a very good suggestion.,A suggestion box with a folded piece of paper going into it,"make a suggestion, helpful suggestion","proposal, recommendation, idea, tip",rejection
suppose,(v.),"Language of thought, action & change","Judgment, memory & opinion",səˈpoʊz/ সাপোজ/ suh-pohz,Assume that something is the case on the basis of evidence or probability but without proof or certain knowledge,মনে করা / ধারণা করা,I suppose you are right.,A person scratching their chin looking thoughtful with a question mark,"suppose so, generally supposed","assume, presume, imagine, guess","know, be certain"
specific,(adj.),"Language of thought, action & change","Judgment, memory & opinion",spəˈsɪfɪk/ স্পেসিফিক/ spuh-sif-ik,Clearly defined or identified,নির্দিষ্ট,I need specific instructions to complete the task.,A person pointing exactly at one red dot among many gray dots,"specific detail, specific purpose","particular, precise, exact, detailed","general, vague"
"unlike , (opposite = like)","(prep.), (adj.)","Language of thought, action & change","Judgment, memory & opinion",ʌnˈlaɪk/ আনলাইক/ uhn-lahyk,Different from; not similar to,ভিন্ন / অসদৃশ,He is very unlike his brother.,One completely black apple sitting among bright red apples,"unlike anything else, very unlike","different from, in contrast to, dissimilar","like, similar to"
unknown (opposite = known),(adj.),"Language of thought, action & change","Judgment, memory & opinion",ʌnˈnoʊn/ আননোন/ uhn-nohn,Not known or familiar,অজানা,The exact cause of the fire is unknown.,"A dark, mysterious silhouette standing behind a large question mark","unknown reason, completely unknown","unfamiliar, unidentified, obscure, mysterious","known, familiar"
wise,(adj.),"Language of thought, action & change","Judgment, memory & opinion",waɪz/ ওয়াইজ/ wahyz,"Having or showing experience, knowledge, and good judgment",জ্ঞানী,He gave me some wise advice.,"An old, majestic owl wearing reading glasses sitting on a book","wise decision, wise man","sensible, intelligent, knowledgeable, prudent","foolish, unwise"
think,(v.),"Language of thought, action & change","Judgment, memory & opinion",θɪŋk/ থিংক/ thingk,"Have a particular opinion, belief, or idea about someone or something",চিন্তা করা,I think it will rain today.,A person tapping their chin with a thought bubble above their head,"think about, think twice","believe, consider, reflect, ponder","know, be certain"
thought,(n.),"Language of thought, action & change","Judgment, memory & opinion",θɔːt/ থট/ thawt,An idea or opinion produced by thinking,চিন্তা / ধারণা,I had a sudden thought.,"A bright, glowing lightbulb suddenly turning on above someone's head","second thought, deep in thought","idea, notion, opinion, reflection",
arm,"(n.), (v.)",Health body & wellbeing,The human body,ɑːm/ আর্ম/ arm,The upper limb of the body; to provide weapons,বাহু / অস্ত্র দেওয়া,She broke her arm in a cycling accident.,"A person wearing a sling supporting a broken arm, hospital background, realistic photo","arm in arm, arm yourself, upper arm, coat of arms","limb, weapon, equip, supply",disarm
"back ,","(n.), (adj.), (adv.), (v.)",Health body & wellbeing,The human body,bæk/ ব্যাক/ bak,The rear part; returning to a previous state; to support,পিছন / পিঠ / ফিরে,She leaned back in her chair and relaxed.,"A woman relaxing in a comfortable armchair, feet up, peaceful living room setting","set back, back up, back pain, go back","rear, support, reverse, return","front, forward"
joint,"(adj.), (n.)",Health body & wellbeing,The human body,dʒɔɪnt/ জয়েন্ট/ joynt,Shared; a place where two things are joined,যৌথ / জোড়া,They made a joint decision to move abroad.,"Two business partners shaking hands over a signed contract, professional setting","joint effort, joint account, ball-and-socket joint, out of joint","shared, combined, mutual, junction","separate, individual"
ankle,(n.),Health body & wellbeing,The human body,ˈæŋkl/ অ্যাঙ্কেল/ ang-kuhl,The joint connecting the foot with the leg,গোড়ালি,She sprained her ankle while running.,"A glowing blue outline around a human ankle, medical diagram style","sprain an ankle, twist an ankle, broken ankle","joint, lower leg, foot joint",
body,(n.),Health body & wellbeing,The human body,ˈbɒdi/ বডি/ bod-ee,The physical structure of a person or an animal,শরীর,"He has a strong, muscular body.",An athletic silhouette running confidently towards a bright sunset,"human body, dead body, full body","figure, form, physique, torso","mind, spirit"
elbow,(n.),Health body & wellbeing,The human body,ˈɛlboʊ/ এলবো/ el-boh,The joint between the forearm and the upper arm,কনুই,He rested his elbows on the table.,A close up of a bent arm showing the elbow joint,"tennis elbow, rub elbows","joint, arm bend, nudge",
finger,(n.),Health body & wellbeing,The human body,ˈfɪŋɡə/ ফিঙ্গার/ fing-ger,"Each of the four slender jointed parts attached to either hand (or five, if the thumb is included)",আঙুল,She wore a ring on her finger.,"A beautiful, sparkling diamond ring worn on a slender finger","point a finger, finger prints","digit, pointer, touch",
physical,(adj.),Health body & wellbeing,The human body,ˈfɪzɪkl/ ফিজিক্যাল/ fiz-i-kuhl,Relating to the body as opposed to the mind; relating to things perceived through the senses as opposed to the mind.,শারীরিক / ভৌত,Physical exercise is good for you.,A person in athletic gear running energetically on an outdoor track.,"physical strength, physical health","bodily, corporeal, tangible, material","mental, spiritual"
physically,(adv.),Health body & wellbeing,The human body,ˈfɪzɪkli/ ফিজিক্যালি/ fiz-i-klee,In a manner relating to the body as opposed to the mind.,শারীরিকভাবে,The job is physically demanding.,A strong construction worker easily lifting a heavy piece of building material.,"physically active, physically impossible","bodily, in person, materially, concretely","mentally, spiritually"
human,"(adj.), (n.)",Health body & wellbeing,The human body,ˈhjuːmən/ হিউম্যান/ hyoo-muhn,Relating to or characteristic of people or human beings,মানব / মানুষ,The human body is very complex.,A colorful medical diagram detailing the muscular structure of a person,"human body, human rights","person, individual, mortal, mankind","animal, inhuman"
legal,(adj.),Health body & wellbeing,The human body,ˈliːɡl/ লিগ্যাল/ lee-guhl,Relating to the law.,আইনি / বৈধ,You need to get legal advice.,"A set of official documents with a red wax seal and a pen, emphasizing legal authority.","legal action, legal advice","lawful, legitimate, authorized, permitted","illegal, unlawful"
muscle,(n.),Health body & wellbeing,The human body,ˈmʌsl/ মাসল/ muhs-uhl,"A band or bundle of fibrous tissue in a human or animal body that has the ability to contract, producing movement.",পেশী,He pulled a muscle in his leg.,An anatomical glowing illustration of a human bicep flexing.,"muscle ache, pull a muscle","tissue, strength, sinew, brawn",
naked,(adj.),Health body & wellbeing,The human body,ˈneɪkɪd/ নেকেড/ ney-kid,Without clothes.,নগ্ন,The baby was running around naked.,"A completely bare, leafless tree standing alone in a winter landscape.","naked eye, half naked","bare, nude, undressed, exposed","clothed, covered"
organ,(n.),Health body & wellbeing,The human body,ˈɔːɡən/ অর্গান/ awr-guhn,A part of an organism that is typically self-contained and has a specific vital function.,অঙ্গ,The heart is a vital organ.,"A clean, glowing medical illustration of a human heart.","vital organ, internal organ","body part, instrument, publication",
organize (BrE also -ise),(v.),Health body & wellbeing,The human body,ˈɔːɡənaɪz/ অর্গানাইজ/ awr-guh-nahyz,Arrange into a structured whole; order.,আয়োজন করা / গুছিয়ে রাখা,We need to organize a meeting.,A person neatly organizing files into clearly labeled folders on a desk.,"organize an event, well organized","arrange, plan, coordinate, structure","disorganize, scatter"
stomach,(n.),Health body & wellbeing,The human body,ˈstʌmək/ স্টমাক/ stuhm-uhk,The internal organ in which the major part of the digestion of food occurs,পাকস্থলী,My stomach hurts.,A person holding their belly in pain,"stomach ache, empty stomach","abdomen, belly, gut, tummy",
shoulder,(n.),Health body & wellbeing,The human body,ˈʃəʊldə(r)/ শোল্ডার/ shohl-der,The upper joint of the human arm and the part of the body between this and the neck.,কাঁধ,He carried the heavy bag on his shoulder.,A strong person with a heavy duffel bag slung over their shoulder.,"shoulder blade, cold shoulder","upper arm area, carry, bear, support",
